connector_id,evse_id,connector_number,connector_type,power_kw
38494,25683,1,J1772,>8 kW
38358,27850,1,J1772,>8 kW
44144,31875,1,J1772,>8 kW
45088,32971,1,J1772,>8 kW
9643,5712,1,J1772,<8 kW
10954,6609,1,J1772,<8 kW
11767,7419,1,J1772,<8 kW
9796,5712,2,J1772,<8 kW
22605,14644,1,J1772,>8 kW
48409,35391,1,J1772,>8 kW
47628,35767,1,J1772,>8 kW
50085,35888,1,J1772,>8 kW
30380,22424,2,CHAdeMO,30 kW - 100 kW
30335,22539,1,Combo,30 kW - 100 kW
30275,22424,1,Combo,30 kW - 100 kW
30358,22539,2,CHAdeMO,30 kW - 100 kW
32485,22843,2,J1772,<8 kW
32486,22844,2,J1772,<8 kW
32487,22845,2,J1772,<8 kW
32672,22846,1,J1772,<8 kW
32489,22847,2,J1772,<8 kW
32490,22848,2,J1772,<8 kW
32491,22849,2,J1772,<8 kW
32492,22850,2,J1772,<8 kW
32677,22851,1,J1772,<8 kW
32494,22852,2,J1772,<8 kW
32509,22867,2,J1772,<8 kW
32510,22868,2,J1772,<8 kW
32521,22879,2,J1772,<8 kW
32522,22880,2,J1772,<8 kW
32529,22887,2,J1772,<8 kW
32697,22888,1,J1772,<8 kW
32555,22913,2,J1772,<8 kW
32566,22924,2,J1772,<8 kW
32567,22925,2,J1772,<8 kW
32570,22928,2,J1772,<8 kW
32571,22929,2,J1772,<8 kW
32738,22930,1,J1772,<8 kW
32669,22843,1,J1772,<8 kW
32670,22844,1,J1772,<8 kW
32671,22845,1,J1772,<8 kW
32488,22846,2,J1772,<8 kW
32673,22847,1,J1772,<8 kW
32674,22848,1,J1772,<8 kW
32675,22849,1,J1772,<8 kW
32676,22850,1,J1772,<8 kW
32493,22851,2,J1772,<8 kW
32678,22852,1,J1772,<8 kW
32684,22867,1,J1772,<8 kW
32685,22868,1,J1772,<8 kW
32689,22879,1,J1772,<8 kW
32690,22880,1,J1772,<8 kW
32523,22881,1,J1772,<8 kW
32478,22836,1,J1772,<8 kW
32479,22837,1,J1772,<8 kW
32480,22838,1,J1772,<8 kW
32481,22839,1,J1772,<8 kW
32696,22887,1,J1772,<8 kW
32530,22888,2,J1772,<8 kW
32722,22913,1,J1772,<8 kW
32666,22834,1,J1772,<8 kW
32733,22924,1,J1772,<8 kW
20815,13760,1,J1772,<8 kW
20895,13766,1,J1772,<8 kW
20911,13768,1,J1772,<8 kW
19357,13771,2,J1772,<8 kW
21083,13773,1,J1772,<8 kW
21084,13774,1,J1772,<8 kW
19572,13780,2,J1772,<8 kW
21175,13781,1,J1772,<8 kW
21176,13782,1,J1772,<8 kW
21335,13786,1,J1772,<8 kW
19953,13827,2,J1772,<8 kW
21543,13828,1,J1772,<8 kW
21544,13829,1,J1772,<8 kW
19956,13830,2,J1772,<8 kW
19968,13831,2,J1772,<8 kW
20001,13832,2,J1772,<8 kW
21588,13833,1,J1772,<8 kW
21607,13835,1,J1772,<8 kW
21663,13842,1,J1772,<8 kW
20084,13843,2,J1772,<8 kW
21666,13844,1,J1772,<8 kW
21678,13845,1,J1772,<8 kW
21679,13846,1,J1772,<8 kW
20099,13847,2,J1772,<8 kW
30039,19248,1,J1772,<8 kW
30040,19249,1,J1772,<8 kW
29733,19358,2,J1772,<8 kW
30138,19359,1,J1772,<8 kW
30139,19360,1,J1772,<8 kW
30140,19361,1,J1772,<8 kW
30131,19342,1,J1772,<8 kW
30150,19371,1,J1772,<8 kW
30151,19372,1,J1772,<8 kW
30153,19374,1,J1772,<8 kW
29750,19375,2,J1772,<8 kW
30155,19376,1,J1772,<8 kW
30157,19378,1,J1772,Undesignated
30158,19379,1,J1772,<8 kW
30159,19380,1,J1772,<8 kW
29786,19411,2,J1772,Undesignated
30185,19412,1,J1772,<8 kW
30187,19414,1,J1772,<8 kW
30188,19415,1,J1772,Undesignated
30189,19416,1,J1772,<8 kW
30196,19423,1,J1772,<8 kW
30197,19424,1,J1772,<8 kW
29800,19425,2,J1772,<8 kW
29801,19426,2,J1772,<8 kW
30200,19427,1,J1772,<8 kW
29803,19428,2,J1772,<8 kW
29804,19429,2,J1772,<8 kW
30206,19433,1,J1772,<8 kW
29779,19404,2,J1772,<8 kW
30178,19405,1,J1772,<8 kW
30179,19406,1,J1772,<8 kW
29816,19441,2,J1772,<8 kW
29823,19448,2,J1772,<8 kW
29827,19452,2,J1772,<8 kW
30218,19453,1,J1772,<8 kW
29829,19454,2,J1772,<8 kW
30220,19455,1,J1772,<8 kW
29623,19248,2,J1772,<8 kW
29624,19249,2,J1772,<8 kW
29717,19342,2,J1772,<8 kW
29723,19348,1,J1772,<8 kW
29724,19349,1,J1772,<8 kW
29725,19350,1,J1772,<8 kW
29726,19351,1,J1772,<8 kW
29727,19352,1,J1772,<8 kW
29728,19353,1,J1772,<8 kW
29729,19354,1,J1772,<8 kW
29730,19355,1,J1772,<8 kW
29731,19356,1,J1772,<8 kW
29732,19357,1,J1772,<8 kW
30137,19358,1,J1772,<8 kW
29734,19359,2,J1772,<8 kW
29735,19360,2,J1772,<8 kW
29736,19361,2,J1772,<8 kW
29753,19378,2,J1772,Undesignated
29754,19379,2,J1772,<8 kW
29755,19380,2,J1772,<8 kW
29749,19374,2,J1772,<8 kW
30154,19375,1,J1772,<8 kW
29751,19376,2,J1772,<8 kW
30177,19404,1,J1772,<8 kW
29780,19405,2,J1772,<8 kW
29781,19406,2,J1772,<8 kW
30184,19411,1,J1772,Undesignated
29787,19412,2,J1772,<8 kW
29789,19414,2,J1772,<8 kW
29790,19415,2,J1772,Undesignated
29791,19416,2,J1772,<8 kW
29798,19423,2,J1772,<8 kW
29799,19424,2,J1772,<8 kW
30198,19425,1,J1772,<8 kW
30199,19426,1,J1772,<8 kW
29802,19427,2,J1772,<8 kW
30201,19428,1,J1772,<8 kW
30202,19429,1,J1772,<8 kW
29808,19433,2,J1772,<8 kW
29746,19371,2,J1772,<8 kW
29747,19372,2,J1772,<8 kW
30211,19441,1,J1772,<8 kW
30213,19448,1,J1772,<8 kW
30217,19452,1,J1772,<8 kW
29828,19453,2,J1772,<8 kW
30219,19454,1,J1772,<8 kW
29830,19455,2,J1772,<8 kW
41337,30650,1,J1772,<8 kW
41338,30651,1,J1772,<8 kW
41339,30652,1,J1772,<8 kW
41340,30653,1,J1772,<8 kW
41341,30654,1,J1772,<8 kW
41375,30688,2,J1772,<8 kW
41376,30689,2,J1772,<8 kW
41361,30674,2,J1772,<8 kW
41364,30677,2,J1772,<8 kW
41407,30720,2,J1772,<8 kW
41530,30723,1,J1772,<8 kW
41411,30724,2,J1772,<8 kW
41412,30725,2,J1772,<8 kW
41430,30743,2,J1772,<8 kW
41423,30736,2,J1772,<8 kW
41435,30748,2,J1772,<8 kW
36973,27124,1,J1772,<8 kW
36901,27118,1,J1772,<8 kW
36902,27119,1,J1772,<8 kW
36903,27120,1,J1772,<8 kW
36907,27124,2,J1772,<8 kW
36915,27132,2,J1772,<8 kW
36916,27133,2,J1772,<8 kW
36935,27152,2,J1772,<8 kW
36943,27159,2,J1772,<8 kW
36944,27160,2,J1772,<8 kW
32734,22925,1,J1772,<8 kW
32736,22928,1,J1772,<8 kW
32737,22929,1,J1772,<8 kW
32572,22930,2,J1772,<8 kW
45811,34260,1,J1772,<8 kW
46111,33933,1,Combo,<30 kW
45832,34281,2,J1772,<8 kW
45846,34295,1,J1772,<8 kW
46020,34298,1,J1772,<8 kW
46021,34299,1,J1772,<8 kW
46022,34300,1,J1772,<8 kW
45852,34301,2,J1772,<8 kW
45853,34302,2,J1772,<8 kW
46025,34303,1,J1772,<8 kW
45855,34304,2,J1772,<8 kW
45856,34305,2,J1772,<8 kW
45862,34311,2,J1772,<8 kW
46055,34334,1,J1772,<8 kW
36980,27132,1,J1772,<8 kW
36981,27133,1,J1772,<8 kW
36995,27152,1,J1772,<8 kW
37002,27159,1,J1772,<8 kW
37003,27160,1,J1772,<8 kW
15859,11348,2,J1772,<8 kW
15860,11349,2,J1772,<8 kW
16698,11350,1,J1772,<8 kW
16699,11351,1,J1772,<8 kW
16700,11352,1,J1772,<8 kW
15864,11353,2,J1772,<8 kW
16702,11354,1,J1772,<8 kW
16703,11355,1,J1772,<8 kW
16704,11356,1,J1772,<8 kW
16705,11357,1,J1772,<8 kW
16706,11358,1,J1772,<8 kW
16707,11359,1,J1772,<8 kW
15871,11360,2,J1772,<8 kW
15872,11361,2,J1772,<8 kW
16710,11362,1,J1772,<8 kW
15874,11363,2,J1772,<8 kW
15875,11364,2,J1772,<8 kW
15847,11335,2,J1772,<8 kW
15848,11336,2,J1772,<8 kW
16688,11337,1,J1772,<8 kW
16689,11338,1,J1772,<8 kW
16690,11339,1,J1772,<8 kW
19147,13754,2,J1772,<8 kW
19185,13760,2,J1772,<8 kW
19266,13766,2,J1772,<8 kW
19282,13768,2,J1772,<8 kW
19474,13773,2,J1772,<8 kW
19475,13774,2,J1772,<8 kW
21174,13780,1,J1772,<8 kW
19573,13781,2,J1772,<8 kW
19574,13782,2,J1772,<8 kW
