evse_id,metro_area,land_use,region,num_ports,charge_level,venue,pricing
6034,Undesignated,Metro Area,Mountain,1,DCFC,Corridor,Paid
6065,Undesignated,Metro Area,Mountain,1,DCFC,Corridor,Paid
6100,"Phoenix-Mesa-Chandler, AZ Metro Area",Metro Area,Mountain,1,DCFC,Undesignated,Free
6155,Undesignated,Metro Area,Mountain,1,DCFC,Corridor,Paid
1315,"Denver-Aurora-Lakewood, CO Metro Area",Metro Area,Mountain,1,DCFC,Corridor,Free
1573,"Denver-Aurora-Lakewood, CO Metro Area",Metro Area,Mountain,1,DCFC,Corridor,Paid
1686,"Denver-Aurora-Lakewood, CO Metro Area",Metro Area,Mountain,1,DCFC,Corridor,Free
1717,Undesignated,Metro Area,Mountain,1,DCFC,Corridor,Paid
1728,"Phoenix-Mesa-Chandler, AZ Metro Area",Metro Area,Mountain,1,DCFC,Undesignated,Free
1789,"Phoenix-Mesa-Chandler, AZ Metro Area",Metro Area,Mountain,1,DCFC,Undesignated,Free
1953,Undesignated,Metro Area,Mountain,1,DCFC,Undesignated,Free
591,"Boulder, CO Metro Area",Metro Area,Mountain,1,DCFC,Corridor,Undesignated
840,"Phoenix-Mesa-Chandler, AZ Metro Area",Metro Area,Mountain,1,DCFC,Undesignated,Paid
1263,Undesignated,Metro Area,Mountain,1,DCFC,Corridor,Free
5288,Undesignated,Metro Area,Mountain,1,DCFC,Corridor,Paid
5298,Undesignated,Metro Area,Mountain,1,DCFC,Corridor,Paid
5314,Undesignated,Metro Area,Mountain,1,DCFC,Corridor,Paid
5304,"Denver-Aurora-Lakewood, CO Metro Area",Metro Area,Mountain,1,DCFC,Corridor,Free
5306,Undesignated,Metro Area,Mountain,1,DCFC,Corridor,Paid
5327,"Denver-Aurora-Lakewood, CO Metro Area",Metro Area,Mountain,1,DCFC,Corridor,Free
5368,Undesignated,Metro Area,Mountain,1,DCFC,Corridor,Paid
13993,Undesignated,Metro Area,Mountain,1,DCFC,Corridor,Free
14005,Undesignated,Metro Area,Mountain,1,DCFC,Corridor,Free
26685,Undesignated,Metro Area,Mountain,1,DCFC,Corridor,Paid
26525,"Denver-Aurora-Lakewood, CO Metro Area",Metro Area,Mountain,1,DCFC,Corridor,Free
26531,Undesignated,Metro Area,Mountain,1,DCFC,Corridor,Paid
22522,Undesignated,Metro Area,Mountain,1,DCFC,Undesignated,Free
22525,Undesignated,Metro Area,Mountain,1,DCFC,Undesignated,Free
26936,"Phoenix-Mesa-Chandler, AZ Metro Area",Metro Area,Mountain,1,DCFC,Undesignated,Free
26938,"Phoenix-Mesa-Chandler, AZ Metro Area",Metro Area,Mountain,1,DCFC,Undesignated,Free
23066,Undesignated,Metro Area,Mountain,1,DCFC,Corridor,Undesignated
22950,"Boulder, CO Metro Area",Metro Area,Mountain,1,DCFC,Undesignated,Undesignated
29969,"Denver-Aurora-Lakewood, CO Metro Area",Metro Area,Mountain,1,DCFC,Undesignated,Free
29902,Undesignated,Metro Area,Mountain,1,DCFC,Corridor,Paid
30241,"Denver-Aurora-Lakewood, CO Metro Area",Metro Area,Mountain,1,DCFC,Undesignated,Free
30242,"Denver-Aurora-Lakewood, CO Metro Area",Metro Area,Mountain,1,DCFC,Undesignated,Free
33709,"Denver-Aurora-Lakewood, CO Metro Area",Metro Area,Mountain,1,DCFC,Undesignated,Free
37299,"Denver-Aurora-Lakewood, CO Metro Area",Metro Area,Mountain,1,DCFC,Undesignated,Free
41420,Undesignated,Metro Area,Mountain,1,DCFC,Undesignated,Free
41221,"Phoenix-Mesa-Chandler, AZ Metro Area",Metro Area,Mountain,1,DCFC,Undesignated,Free
41158,"Denver-Aurora-Lakewood, CO Metro Area",Metro Area,Mountain,1,DCFC,Undesignated,Free
40916,"Phoenix-Mesa-Chandler, AZ Metro Area",Metro Area,Mountain,1,DCFC,Undesignated,Free
40919,"Phoenix-Mesa-Chandler, AZ Metro Area",Metro Area,Mountain,1,DCFC,Undesignated,Free
41663,"Denver-Aurora-Lakewood, CO Metro Area",Metro Area,Mountain,1,DCFC,Undesignated,Undesignated
6162,Undesignated,Metro Area,New England,1,DCFC,Undesignated,Free
6153,Undesignated,Metro Area,New England,1,DCFC,Undesignated,Free
5283,"Burlington-South Burlington, VT Metro Area",Metro Area,New England,1,DCFC,Undesignated,Free
832,"Boston-Cambridge-Newton, MA-NH Metro Area",Metro Area,New England,1,DCFC,Undesignated,Paid
819,"Boston-Cambridge-Newton, MA-NH Metro Area",Metro Area,New England,1,DCFC,Corridor,Free
877,"Boston-Cambridge-Newton, MA-NH Metro Area",Metro Area,New England,1,DCFC,Corridor,Paid
936,Undesignated,Metro Area,New England,1,DCFC,Undesignated,Free
924,"Burlington-South Burlington, VT Metro Area",Metro Area,New England,1,DCFC,Undesignated,Paid
952,"Burlington-South Burlington, VT Metro Area",Metro Area,New England,1,DCFC,Undesignated,Free
14040,"Providence-Warwick, RI-MA Metro Area",Metro Area,New England,1,DCFC,Corridor,Paid
13991,Undesignated,Metro Area,New England,1,DCFC,Undesignated,Free
14060,"Providence-Warwick, RI-MA Metro Area",Metro Area,New England,1,DCFC,Corridor,Paid
14095,Undesignated,Metro Area,New England,1,DCFC,Corridor,Paid
14097,Undesignated,Metro Area,New England,1,DCFC,Undesignated,Free
13540,"Boston-Cambridge-Newton, MA-NH Metro Area",Metro Area,New England,1,DCFC,Corridor,Undesignated
26517,"Providence-Warwick, RI-MA Metro Area",Metro Area,New England,1,DCFC,Undesignated,Paid
22302,"Providence-Warwick, RI-MA Metro Area",Metro Area,New England,1,DCFC,Undesignated,Paid
26858,"Worcester, MA-CT Metro Area",Metro Area,New England,1,DCFC,Corridor,Paid
26887,"Burlington-South Burlington, VT Metro Area",Metro Area,New England,1,DCFC,Undesignated,Paid
26888,"Burlington-South Burlington, VT Metro Area",Metro Area,New England,1,DCFC,Undesignated,Paid
22520,"Providence-Warwick, RI-MA Metro Area",Metro Area,New England,1,DCFC,Corridor,Paid
22521,"Providence-Warwick, RI-MA Metro Area",Metro Area,New England,1,DCFC,Corridor,Paid
22509,Undesignated,Metro Area,New England,1,DCFC,Corridor,Paid
26557,"Boston-Cambridge-Newton, MA-NH Metro Area",Metro Area,New England,1,DCFC,Corridor,Paid
26558,"Boston-Cambridge-Newton, MA-NH Metro Area",Metro Area,New England,1,DCFC,Corridor,Paid
26559,"Boston-Cambridge-Newton, MA-NH Metro Area",Metro Area,New England,1,DCFC,Corridor,Paid
26560,"Boston-Cambridge-Newton, MA-NH Metro Area",Metro Area,New England,1,DCFC,Corridor,Paid
22421,Undesignated,Metro Area,New England,1,DCFC,Undesignated,Free
26718,"Providence-Warwick, RI-MA Metro Area",Metro Area,New England,1,DCFC,Corridor,Paid
26612,"Providence-Warwick, RI-MA Metro Area",Metro Area,New England,1,DCFC,Corridor,Free
26613,"Providence-Warwick, RI-MA Metro Area",Metro Area,New England,1,DCFC,Corridor,Free
26614,"Providence-Warwick, RI-MA Metro Area",Metro Area,New England,1,DCFC,Corridor,Free
26615,"Providence-Warwick, RI-MA Metro Area",Metro Area,New England,1,DCFC,Corridor,Free
26616,"Providence-Warwick, RI-MA Metro Area",Metro Area,New England,1,DCFC,Corridor,Free
26617,"Providence-Warwick, RI-MA Metro Area",Metro Area,New England,1,DCFC,Corridor,Free
30157,"Providence-Warwick, RI-MA Metro Area",Metro Area,New England,1,DCFC,Corridor,Free
30158,"Providence-Warwick, RI-MA Metro Area",Metro Area,New England,1,DCFC,Corridor,Free
30051,"Providence-Warwick, RI-MA Metro Area",Metro Area,New England,1,DCFC,Undesignated,Free
41010,"Boston-Cambridge-Newton, MA-NH Metro Area",Metro Area,New England,1,DCFC,Undesignated,Paid
41204,"Boston-Cambridge-Newton, MA-NH Metro Area",Metro Area,New England,1,DCFC,Undesignated,Paid
1758,"Seattle-Tacoma-Bellevue, WA Metro Area",Metro Area,Pacific,1,DCFC,Undesignated,Paid
1854,Undesignated,Metro Area,Pacific,1,DCFC,Undesignated,Free
1855,"Portland-Vancouver-Hillsboro, OR-WA Metro Area",Metro Area,Pacific,1,DCFC,Undesignated,Free
1861,"Portland-Vancouver-Hillsboro, OR-WA Metro Area",Metro Area,Pacific,1,DCFC,Undesignated,Free
1868,"Portland-Vancouver-Hillsboro, OR-WA Metro Area",Metro Area,Pacific,1,DCFC,Undesignated,Free
1900,Undesignated,Metro Area,Pacific,1,DCFC,Undesignated,Free
1748,"Seattle-Tacoma-Bellevue, WA Metro Area",Metro Area,Pacific,1,DCFC,Undesignated,Paid
1648,"Seattle-Tacoma-Bellevue, WA Metro Area",Metro Area,Pacific,1,DCFC,Undesignated,Paid
1762,"Portland-Vancouver-Hillsboro, OR-WA Metro Area",Metro Area,Pacific,1,DCFC,Corridor,Paid
1398,"Seattle-Tacoma-Bellevue, WA Metro Area",Metro Area,Pacific,1,DCFC,Undesignated,Paid
1524,"Seattle-Tacoma-Bellevue, WA Metro Area",Metro Area,Pacific,1,DCFC,Undesignated,Undesignated
1239,Undesignated,Metro Area,Pacific,1,DCFC,Undesignated,Paid
14093,"Seattle-Tacoma-Bellevue, WA Metro Area",Metro Area,Pacific,1,DCFC,Undesignated,Free
14086,"Seattle-Tacoma-Bellevue, WA Metro Area",Metro Area,Pacific,1,DCFC,Undesignated,Paid
14046,"Seattle-Tacoma-Bellevue, WA Metro Area",Metro Area,Pacific,1,DCFC,Undesignated,Free
14019,"Seattle-Tacoma-Bellevue, WA Metro Area",Metro Area,Pacific,1,DCFC,Undesignated,Free
14025,"Seattle-Tacoma-Bellevue, WA Metro Area",Metro Area,Pacific,1,DCFC,Undesignated,Paid
18892,Undesignated,Metro Area,Pacific,1,DCFC,Undesignated,Free
18895,"Los Angeles-Long Beach-Anaheim, CA Metro Area",Metro Area,Pacific,1,DCFC,Undesignated,Paid
18901,Undesignated,Metro Area,Pacific,1,DCFC,Undesignated,Free
18871,Undesignated,Metro Area,Pacific,1,DCFC,Undesignated,Free
18879,Undesignated,Metro Area,Pacific,1,DCFC,Undesignated,Undesignated
18882,Undesignated,Metro Area,Pacific,1,DCFC,Corridor,Free
18883,Undesignated,Metro Area,Pacific,1,DCFC,Undesignated,Paid
18888,Undesignated,Metro Area,Pacific,1,DCFC,Undesignated,Undesignated
18908,Undesignated,Metro Area,Pacific,1,DCFC,Undesignated,Undesignated
18911,Undesignated,Metro Area,Pacific,1,DCFC,Undesignated,Undesignated
18916,Undesignated,Metro Area,Pacific,1,DCFC,Undesignated,Paid
18925,Undesignated,Metro Area,Pacific,1,DCFC,Corridor,Paid
18926,Undesignated,Metro Area,Pacific,1,DCFC,Corridor,Paid
18927,Undesignated,Metro Area,Pacific,1,DCFC,Undesignated,Paid
18928,Undesignated,Metro Area,Pacific,1,DCFC,Undesignated,Paid
18929,Undesignated,Metro Area,Pacific,1,DCFC,Undesignated,Free
18931,Undesignated,Metro Area,Pacific,1,DCFC,Undesignated,Paid
18932,"Los Angeles-Long Beach-Anaheim, CA Metro Area",Metro Area,Pacific,1,DCFC,Undesignated,Paid
18923,Undesignated,Metro Area,Pacific,1,DCFC,Corridor,Free
18935,Undesignated,Metro Area,Pacific,1,DCFC,Undesignated,Undesignated
18936,Undesignated,Metro Area,Pacific,1,DCFC,Corridor,Paid
18940,"Los Angeles-Long Beach-Anaheim, CA Metro Area",Metro Area,Pacific,1,DCFC,Undesignated,Free
18938,Undesignated,Metro Area,Pacific,1,DCFC,Undesignated,Paid
18946,Undesignated,Metro Area,Pacific,1,DCFC,Undesignated,Paid
18947,Undesignated,Metro Area,Pacific,1,DCFC,Undesignated,Free
18948,Undesignated,Metro Area,Pacific,1,DCFC,Corridor,Free
18952,Undesignated,Metro Area,Pacific,1,DCFC,Undesignated,Free
18953,Undesignated,Metro Area,Pacific,1,DCFC,Undesignated,Free
18954,Undesignated,Metro Area,Pacific,1,DCFC,Undesignated,Free
18950,Undesignated,Metro Area,Pacific,1,DCFC,Corridor,Paid
18957,Undesignated,Metro Area,Pacific,1,DCFC,Undesignated,Free
18958,Undesignated,Metro Area,Pacific,1,DCFC,Undesignated,Free
18963,Undesignated,Metro Area,Pacific,1,DCFC,Undesignated,Paid
18960,Undesignated,Metro Area,Pacific,1,DCFC,Undesignated,Paid
18967,"Los Angeles-Long Beach-Anaheim, CA Metro Area",Metro Area,Pacific,1,DCFC,Undesignated,Paid
