id,vehicle_type,electrification_level,ownership,state
100,PASSENGER CAR,BEV (Battery Electric Vehicle),Fleet,Colorado
101,PASSENGER CAR,BEV (Battery Electric Vehicle),Fleet,Colorado
102,PASSENGER CAR,BEV (Battery Electric Vehicle),Fleet,Colorado
103,PASSENGER CAR,BEV (Battery Electric Vehicle),Fleet,Colorado
104,PASSENGER CAR,BEV (Battery Electric Vehicle),Fleet,Colorado
105,PASSENGER CAR,BEV (Battery Electric Vehicle),Fleet,Colorado
106,PASSENGER CAR,BEV (Battery Electric Vehicle),Fleet,Colorado
107,PASSENGER CAR,BEV (Battery Electric Vehicle),Fleet,Colorado
108,PASSENGER CAR,BEV (Battery Electric Vehicle),Fleet,Colorado
109,PASSENGER CAR,BEV (Battery Electric Vehicle),Fleet,Colorado
110,PASSENGER CAR,BEV (Battery Electric Vehicle),Fleet,Colorado
111,PASSENGER CAR,BEV (Battery Electric Vehicle),Fleet,Colorado
112,PASSENGER CAR,BEV (Battery Electric Vehicle),Fleet,Colorado
113,PASSENGER CAR,BEV (Battery Electric Vehicle),Fleet,Colorado
114,PASSENGER CAR,BEV (Battery Electric Vehicle),Fleet,Colorado
115,PASSENGER CAR,BEV (Battery Electric Vehicle),Fleet,Colorado
116,PASSENGER CAR,BEV (Battery Electric Vehicle),Fleet,Colorado
117,PASSENGER CAR,BEV (Battery Electric Vehicle),Fleet,Colorado
118,PASSENGER CAR,BEV (Battery Electric Vehicle),Fleet,Colorado
119,PASSENGER CAR,BEV (Battery Electric Vehicle),Fleet,Colorado
120,PASSENGER CAR,BEV (Battery Electric Vehicle),Fleet,Colorado
121,PASSENGER CAR,PHEV (Plug-in Hybrid Electric Vehicle),Fleet,Colorado
122,PASSENGER CAR,BEV (Battery Electric Vehicle),Fleet,Colorado
123,PASSENGER CAR,BEV (Battery Electric Vehicle),Fleet,Colorado
124,PASSENGER CAR,BEV (Battery Electric Vehicle),Fleet,Colorado
125,PASSENGER CAR,BEV (Battery Electric Vehicle),Fleet,Georgia
126,PASSENGER CAR,BEV (Battery Electric Vehicle),Fleet,Georgia
127,PASSENGER CAR,BEV (Battery Electric Vehicle),Fleet,Georgia
128,PASSENGER CAR,BEV (Battery Electric Vehicle),Fleet,Georgia
129,PASSENGER CAR,BEV (Battery Electric Vehicle),Fleet,Georgia
130,PASSENGER CAR,BEV (Battery Electric Vehicle),Fleet,Georgia
131,PASSENGER CAR,BEV (Battery Electric Vehicle),Fleet,Georgia
132,PASSENGER CAR,BEV (Battery Electric Vehicle),Fleet,Massachusetts
133,PASSENGER CAR,BEV (Battery Electric Vehicle),Fleet,Massachusetts
134,PASSENGER CAR,BEV (Battery Electric Vehicle),Fleet,Massachusetts
135,PASSENGER CAR,PHEV (Plug-in Hybrid Electric Vehicle),Personal,Other
136,PASSENGER CAR,BEV (Battery Electric Vehicle),Fleet,Georgia
137,PASSENGER CAR,BEV (Battery Electric Vehicle),Fleet,Georgia
138,PASSENGER CAR,BEV (Battery Electric Vehicle),Fleet,Georgia
139,PASSENGER CAR,BEV (Battery Electric Vehicle),Fleet,Georgia
140,PASSENGER CAR,BEV (Battery Electric Vehicle),Personal,Other
141,PASSENGER CAR,BEV (Battery Electric Vehicle),Fleet,Colorado
142,PASSENGER CAR,BEV (Battery Electric Vehicle),Fleet,Colorado
143,PASSENGER CAR,BEV (Battery Electric Vehicle),Fleet,Colorado
144,PASSENGER CAR,BEV (Battery Electric Vehicle),Fleet,Colorado
145,PASSENGER CAR,BEV (Battery Electric Vehicle),Fleet,Colorado
146,PASSENGER CAR,BEV (Battery Electric Vehicle),Fleet,Colorado
147,PASSENGER CAR,BEV (Battery Electric Vehicle),Fleet,Other
148,PASSENGER CAR,BEV (Battery Electric Vehicle),Fleet,Other
149,PASSENGER CAR,BEV (Battery Electric Vehicle),Fleet,Colorado
150,PASSENGER CAR,BEV (Battery Electric Vehicle),Fleet,Texas
151,PASSENGER CAR,BEV (Battery Electric Vehicle),Fleet,Texas
152,PASSENGER CAR,BEV (Battery Electric Vehicle),Fleet,Texas
153,PASSENGER CAR,BEV (Battery Electric Vehicle),Fleet,Colorado
154,PASSENGER CAR,BEV (Battery Electric Vehicle),Fleet,Texas
155,PASSENGER CAR,BEV (Battery Electric Vehicle),Fleet,Colorado
156,PASSENGER CAR,BEV (Battery Electric Vehicle),Fleet,Colorado
157,PASSENGER CAR,BEV (Battery Electric Vehicle),Fleet,Colorado
158,PASSENGER CAR,BEV (Battery Electric Vehicle),Fleet,Colorado
159,PASSENGER CAR,BEV (Battery Electric Vehicle),Fleet,Colorado
160,PASSENGER CAR,BEV (Battery Electric Vehicle),Fleet,Colorado
161,PASSENGER CAR,BEV (Battery Electric Vehicle),Fleet,Georgia
162,MULTIPURPOSE PASSENGER VEHICLE (MPV),PHEV (Plug-in Hybrid Electric Vehicle),Fleet,Washington
163,PASSENGER CAR,BEV (Battery Electric Vehicle),Fleet,Washington
164,PASSENGER CAR,BEV (Battery Electric Vehicle),Fleet,Washington
165,PASSENGER CAR,BEV (Battery Electric Vehicle),Fleet,Other
166,PASSENGER CAR,BEV (Battery Electric Vehicle),Fleet,Washington
167,PASSENGER CAR,BEV (Battery Electric Vehicle),Fleet,Washington
168,MULTIPURPOSE PASSENGER VEHICLE (MPV),BEV (Battery Electric Vehicle),Personal,California
169,MULTIPURPOSE PASSENGER VEHICLE (MPV),BEV (Battery Electric Vehicle),Personal,California
170,MULTIPURPOSE PASSENGER VEHICLE (MPV),BEV (Battery Electric Vehicle),Personal,California
171,PASSENGER CAR,BEV (Battery Electric Vehicle),Fleet,Washington
172,PASSENGER CAR,BEV (Battery Electric Vehicle),Fleet,Washington
173,PASSENGER CAR,BEV (Battery Electric Vehicle),Fleet,Washington
174,PASSENGER CAR,PHEV (Plug-in Hybrid Electric Vehicle),Fleet,Colorado
