id,vehicle_id,start_datetime,stop_datetime,duration,energy_kwh,soc_start,soc_stop,rucc_id,flag_id
19904,702,2021-03-09,,1.9561111111111111,12.720231103,90.0,90.0,1.0,0
19905,703,2021-03-09,,6.950833333333334,169.101094117,55.0,90.0,1.0,0
19906,697,2021-03-09,,3.3461111111111115,150.250031076,60.0,90.0,1.0,16
19907,699,2021-03-09,,0.43333333333333335,24.737317297,85.0,90.0,1.0,16
19908,700,2021-03-09,,2.0330555555555554,96.214313302,30.0,50.0,1.0,16
19909,701,2021-03-09,,1.9786111111111113,95.21220409399999,30.0,50.0,1.0,16
19910,702,2021-03-09,,2.0275,107.76470266999999,40.0,60.0,1.0,16
19911,699,2021-03-09,,0.8177777777777777,1.036675163,90.0,90.0,1.0,16
19912,699,2021-03-09,,0.48333333333333334,0.683121098,90.0,90.0,1.0,16
19913,698,2021-03-10,,1.9947222222222223,95.274462366,20.0,35.0,1.0,0
19914,700,2021-03-10,,7.233888888888889,188.725469184,50.0,85.0,1.0,16
19915,701,2021-03-10,,3.756666666666667,166.96841834900002,50.0,80.0,1.0,16
19916,702,2021-03-10,,6.3311111111111105,145.70972238500002,60.0,90.0,1.0,16
19917,703,2021-03-10,,10.998888888888889,308.768617695,30.0,90.0,1.0,0
19918,700,2021-03-10,,2.0327777777777776,97.42276942800001,25.0,35.0,1.0,0
19919,701,2021-03-10,,1.1524999999999999,8.009195551,80.0,80.0,1.0,0
19920,702,2021-03-10,,1.86,88.11208282000001,15.0,30.0,1.0,0
19921,703,2021-03-10,,2.1158333333333332,98.166891512,35.0,50.0,1.0,16
19922,698,2021-03-11,,6.736666666666666,337.048812561,35.0,90.0,1.0,16
19923,700,2021-03-11,,6.700555555555556,325.816312928,35.0,90.0,1.0,0
19924,701,2021-03-11,,4.411111111111111,201.100715125,45.0,80.0,1.0,0
19925,702,2021-03-11,,6.711388888888889,270.993578438,35.0,90.0,1.0,0
19926,703,2021-03-11,,4.901111111111112,229.38747499299998,50.0,80.0,1.0,0
19927,698,2021-03-11,,1.5925000000000002,74.423234494,35.0,50.0,1.0,0
19928,700,2021-03-11,,1.5333333333333332,76.031393405,35.0,50.0,1.0,16
19929,702,2021-03-11,,0.6030555555555556,29.936812359,30.0,35.0,1.0,16
19930,703,2021-03-11,,4.25,203.73970622199997,35.0,80.0,1.0,16
19931,698,2021-03-12,,6.9447222222222225,218.514225065,50.0,90.0,1.0,16
19932,700,2021-03-12,,5.183055555555556,174.68695585300003,55.0,90.0,1.0,0
19933,701,2021-03-12,,7.030833333333334,322.402867253,30.0,75.0,1.0,16
19934,702,2021-03-12,,7.947777777777778,242.825237615,35.0,85.0,1.0,0
19935,703,2021-03-12,,3.3491666666666666,77.615378463,75.0,90.0,1.0,16
19936,698,2021-03-12,,2.0616666666666665,101.088954398,35.0,55.0,1.0,0
19937,700,2021-03-12,,2.033611111111111,96.84118057799999,25.0,40.0,1.0,16
19938,701,2021-03-12,,1.376111111111111,66.540167817,30.0,45.0,1.0,0
19939,703,2021-03-12,,4.4175,207.12351599200002,45.0,85.0,1.0,16
19940,703,2021-03-12,,2.1,84.04931038000001,75.0,90.0,1.0,0
19941,698,2021-03-13,,6.564722222222222,162.561210207,55.0,90.0,1.0,16
19942,700,2021-03-13,,9.0175,309.052564423,40.0,80.0,1.0,16
19943,701,2021-03-13,,4.181388888888889,132.74402895100002,55.0,80.0,1.0,16
19944,702,2021-03-13,,6.5216666666666665,294.335535483,25.0,80.0,1.0,16
19945,703,2021-03-13,,6.416111111111111,89.731111117,90.0,90.0,1.0,16
19946,698,2021-03-13,,1.2566666666666666,59.233426439,45.0,55.0,1.0,0
19947,700,2021-03-13,,1.35,70.452858533,40.0,55.0,1.0,0
19948,701,2021-03-13,,2.095277777777778,24.601344043,80.0,85.0,1.0,0
19949,702,2021-03-13,,5.935555555555556,47.085550923,80.0,90.0,1.0,0
19950,703,2021-03-13,,2.8508333333333336,137.098462807,45.0,75.0,1.0,0
19951,701,2021-03-13,,0.6369444444444444,34.370943683,45.0,50.0,1.0,16
19952,702,2021-03-13,,1.3908333333333334,68.46840058,45.0,55.0,1.0,16
19953,703,2021-03-13,,6.9655555555555555,83.093248314,75.0,90.0,1.0,16
19954,698,2021-03-14,,11.817777777777778,302.976279245,55.0,90.0,1.0,0
19955,700,2021-03-14,,1.9661111111111111,98.985015216,55.0,75.0,1.0,0
19956,701,2021-03-14,,6.485,192.58214165700002,50.0,80.0,1.0,0
19957,702,2021-03-14,,8.367222222222223,160.789793126,60.0,90.0,1.0,0
19958,703,2021-03-14,,5.775277777777777,17.322550294,90.0,95.0,1.0,0
19959,700,2021-03-14,,1.8494444444444447,83.919731721,70.0,85.0,1.0,16
19960,701,2021-03-14,,0.2813888888888889,19.383767593,80.0,85.0,1.0,16
19961,703,2021-03-14,,0.26555555555555554,12.27845449,95.0,95.0,1.0,16
19962,700,2021-03-14,,2.4669444444444446,88.609137445,70.0,85.0,1.0,16
19963,700,2021-03-14,,2.1197222222222223,380.51143917999997,80.0,85.0,1.0,16
19964,698,2021-03-15,,0.6744444444444444,8.704244972000001,90.0,90.0,1.0,0
19965,700,2021-03-15,,2.4016666666666664,112.776464678,25.0,50.0,1.0,0
19966,701,2021-03-15,,6.2877777777777775,276.44498136299995,20.0,80.0,1.0,0
19967,702,2021-03-15,,5.716111111111111,202.06922616900002,50.0,90.0,1.0,16
19968,703,2021-03-15,,8.46888888888889,306.197325691,30.0,90.0,1.0,16
19969,698,2021-03-15,,0.19194444444444442,7.455458279,90.0,90.0,1.0,16
19970,701,2021-03-15,,0.8380555555555556,32.507562997,80.0,85.0,1.0,16
19971,702,2021-03-15,,2.263888888888889,107.44912716900001,20.0,35.0,1.0,0
19972,703,2021-03-15,,0.16694444444444442,7.215135366,90.0,90.0,1.0,0
19973,698,2021-03-15,,2.513611111111111,119.495153587,30.0,55.0,1.0,16
19974,703,2021-03-15,,2.4163888888888887,114.372326812,25.0,50.0,1.0,16
19975,698,2021-03-16,,5.3613888888888885,174.803471759,55.0,85.0,1.0,16
19976,700,2021-03-16,,4.750277777777778,162.196470796,50.0,85.0,1.0,0
19977,701,2021-03-16,,4.585277777777778,190.832547697,40.0,80.0,1.0,16
19978,702,2021-03-16,,12.597777777777779,294.912112831,40.0,90.0,1.0,0
19979,703,2021-03-16,,7.016111111111111,195.693757526,50.0,90.0,1.0,0
19980,698,2021-03-16,,6.379444444444444,64.796348341,80.0,95.0,1.0,16
19981,700,2021-03-16,,2.1166666666666667,100.654474084,30.0,50.0,1.0,16
19982,701,2021-03-16,,1.8758333333333335,33.401877268,80.0,85.0,1.0,16
19983,702,2021-03-16,,1.7927777777777776,85.72653569399999,45.0,60.0,1.0,16
19984,703,2021-03-16,,2.233611111111111,113.98708979800001,30.0,55.0,1.0,16
19985,698,2021-03-16,,1.5925000000000002,75.805067531,40.0,55.0,1.0,0
19986,701,2021-03-16,,0.7719444444444445,37.100210888,45.0,50.0,1.0,0
19987,698,2021-03-17,,1.7774999999999999,85.331756355,60.0,75.0,1.0,16
19988,700,2021-03-17,,1.7666666666666666,87.683511003,50.0,70.0,1.0,0
19989,701,2021-03-17,,1.6969444444444444,71.779731904,65.0,80.0,1.0,16
19990,702,2021-03-17,,1.8608333333333333,83.928964065,60.0,80.0,1.0,16
19991,703,2021-03-17,,1.7508333333333332,83.703229285,55.0,75.0,1.0,0
19992,698,2021-03-17,,1.961111111111111,89.09651343099999,25.0,40.0,1.0,0
19993,700,2021-03-17,,1.0169444444444444,33.600480032,75.0,80.0,1.0,16
19994,701,2021-03-17,,0.18333333333333332,0.314922702,80.0,80.0,1.0,16
19995,702,2021-03-17,,1.038888888888889,39.796166167,80.0,85.0,1.0,16
19996,703,2021-03-17,,1.8830555555555555,91.28790344000001,30.0,50.0,1.0,16
19997,700,2021-03-17,,1.8333333333333335,87.42541191,40.0,60.0,1.0,16
19998,701,2021-03-17,,1.2908333333333333,31.120817324,30.0,40.0,1.0,16
19999,702,2021-03-17,,1.8105555555555557,82.056830054,40.0,60.0,1.0,0
20000,701,2021-03-17,,1.961111111111111,89.48858600399998,35.0,55.0,1.0,0
20001,698,2021-03-18,,7.525,229.317255586,45.0,85.0,1.0,0
20002,700,2021-03-18,,1.0833333333333333,53.293399902,60.0,70.0,1.0,0
20003,701,2021-03-18,,2.4969444444444444,104.756590113,55.0,80.0,1.0,16
20004,702,2021-03-18,,2.950277777777778,135.43800318799998,60.0,90.0,1.0,16
20005,703,2021-03-18,,7.067222222222222,193.530485399,50.0,90.0,1.0,0
20006,698,2021-03-18,,0.5597222222222222,21.525777501,85.0,90.0,1.0,16
20007,701,2021-03-18,,1.81,29.535012104,80.0,85.0,1.0,16
20008,702,2021-03-18,,2.7983333333333333,134.942093255,35.0,65.0,1.0,0
20009,703,2021-03-18,,2.866388888888889,135.625508698,30.0,60.0,1.0,16
20010,698,2021-03-18,,2.095,96.676072157,55.0,75.0,1.0,16
20011,701,2021-03-18,,3.101388888888889,147.65391975699998,40.0,70.0,1.0,16
20012,701,2021-03-18,,2.901111111111111,60.293492142,75.0,85.0,1.0,0
20013,698,2021-03-19,,2.38,85.80117041999999,75.0,90.0,1.0,0
20014,700,2021-03-19,,1.033888888888889,25.386999262,70.0,75.0,1.0,16
