evse_id,metro_area,land_use,region,num_ports,charge_level,venue,pricing,geo_scope,is_chicago,is_midwest
6034,Undesignated,Metro Area,Mountain,1,DCFC,Corridor,Paid,Other US,False,False
6065,Undesignated,Metro Area,Mountain,1,DCFC,Corridor,Paid,Other US,False,False
6100,"Phoenix-Mesa-Chandler, AZ Metro Area",Metro Area,Mountain,1,DCFC,Undesignated,Free,Other US,False,False
6155,Undesignated,Metro Area,Mountain,1,DCFC,Corridor,Paid,Other US,False,False
1315,"Denver-Aurora-Lakewood, CO Metro Area",Metro Area,Mountain,1,DCFC,Corridor,Free,Other US,False,False
1573,"Denver-Aurora-Lakewood, CO Metro Area",Metro Area,Mountain,1,DCFC,Corridor,Paid,Other US,False,False
1686,"Denver-Aurora-Lakewood, CO Metro Area",Metro Area,Mountain,1,DCFC,Corridor,Free,Other US,False,False
1717,Undesignated,Metro Area,Mountain,1,DCFC,Corridor,Paid,Other US,False,False
1728,"Phoenix-Mesa-Chandler, AZ Metro Area",Metro Area,Mountain,1,DCFC,Undesignated,Free,Other US,False,False
1789,"Phoenix-Mesa-Chandler, AZ Metro Area",Metro Area,Mountain,1,DCFC,Undesignated,Free,Other US,False,False
1953,Undesignated,Metro Area,Mountain,1,DCFC,Undesignated,Free,Other US,False,False
591,"Boulder, CO Metro Area",Metro Area,Mountain,1,DCFC,Corridor,Undesignated,Other US,False,False
840,"Phoenix-Mesa-Chandler, AZ Metro Area",Metro Area,Mountain,1,DCFC,Undesignated,Paid,Other US,False,False
1263,Undesignated,Metro Area,Mountain,1,DCFC,Corridor,Free,Other US,False,False
5288,Undesignated,Metro Area,Mountain,1,DCFC,Corridor,Paid,Other US,False,False
5298,Undesignated,Metro Area,Mountain,1,DCFC,Corridor,Paid,Other US,False,False
5314,Undesignated,Metro Area,Mountain,1,DCFC,Corridor,Paid,Other US,False,False
5304,"Denver-Aurora-Lakewood, CO Metro Area",Metro Area,Mountain,1,DCFC,Corridor,Free,Other US,False,False
5306,Undesignated,Metro Area,Mountain,1,DCFC,Corridor,Paid,Other US,False,False
5327,"Denver-Aurora-Lakewood, CO Metro Area",Metro Area,Mountain,1,DCFC,Corridor,Free,Other US,False,False
5368,Undesignated,Metro Area,Mountain,1,DCFC,Corridor,Paid,Other US,False,False
13993,Undesignated,Metro Area,Mountain,1,DCFC,Corridor,Free,Other US,False,False
14005,Undesignated,Metro Area,Mountain,1,DCFC,Corridor,Free,Other US,False,False
26685,Undesignated,Metro Area,Mountain,1,DCFC,Corridor,Paid,Other US,False,False
26525,"Denver-Aurora-Lakewood, CO Metro Area",Metro Area,Mountain,1,DCFC,Corridor,Free,Other US,False,False
26531,Undesignated,Metro Area,Mountain,1,DCFC,Corridor,Paid,Other US,False,False
22522,Undesignated,Metro Area,Mountain,1,DCFC,Undesignated,Free,Other US,False,False
22525,Undesignated,Metro Area,Mountain,1,DCFC,Undesignated,Free,Other US,False,False
26936,"Phoenix-Mesa-Chandler, AZ Metro Area",Metro Area,Mountain,1,DCFC,Undesignated,Free,Other US,False,False
26938,"Phoenix-Mesa-Chandler, AZ Metro Area",Metro Area,Mountain,1,DCFC,Undesignated,Free,Other US,False,False
23066,Undesignated,Metro Area,Mountain,1,DCFC,Corridor,Undesignated,Other US,False,False
22950,"Boulder, CO Metro Area",Metro Area,Mountain,1,DCFC,Undesignated,Undesignated,Other US,False,False
29969,"Denver-Aurora-Lakewood, CO Metro Area",Metro Area,Mountain,1,DCFC,Undesignated,Free,Other US,False,False
29902,Undesignated,Metro Area,Mountain,1,DCFC,Corridor,Paid,Other US,False,False
30241,"Denver-Aurora-Lakewood, CO Metro Area",Metro Area,Mountain,1,DCFC,Undesignated,Free,Other US,False,False
30242,"Denver-Aurora-Lakewood, CO Metro Area",Metro Area,Mountain,1,DCFC,Undesignated,Free,Other US,False,False
33709,"Denver-Aurora-Lakewood, CO Metro Area",Metro Area,Mountain,1,DCFC,Undesignated,Free,Other US,False,False
37299,"Denver-Aurora-Lakewood, CO Metro Area",Metro Area,Mountain,1,DCFC,Undesignated,Free,Other US,False,False
41420,Undesignated,Metro Area,Mountain,1,DCFC,Undesignated,Free,Other US,False,False
41221,"Phoenix-Mesa-Chandler, AZ Metro Area",Metro Area,Mountain,1,DCFC,Undesignated,Free,Other US,False,False
41158,"Denver-Aurora-Lakewood, CO Metro Area",Metro Area,Mountain,1,DCFC,Undesignated,Free,Other US,False,False
40916,"Phoenix-Mesa-Chandler, AZ Metro Area",Metro Area,Mountain,1,DCFC,Undesignated,Free,Other US,False,False
40919,"Phoenix-Mesa-Chandler, AZ Metro Area",Metro Area,Mountain,1,DCFC,Undesignated,Free,Other US,False,False
41663,"Denver-Aurora-Lakewood, CO Metro Area",Metro Area,Mountain,1,DCFC,Undesignated,Undesignated,Other US,False,False
6162,Undesignated,Metro Area,New England,1,DCFC,Undesignated,Free,Other US,False,False
6153,Undesignated,Metro Area,New England,1,DCFC,Undesignated,Free,Other US,False,False
5283,"Burlington-South Burlington, VT Metro Area",Metro Area,New England,1,DCFC,Undesignated,Free,Other US,False,False
832,"Boston-Cambridge-Newton, MA-NH Metro Area",Metro Area,New England,1,DCFC,Undesignated,Paid,Other US,False,False
819,"Boston-Cambridge-Newton, MA-NH Metro Area",Metro Area,New England,1,DCFC,Corridor,Free,Other US,False,False
877,"Boston-Cambridge-Newton, MA-NH Metro Area",Metro Area,New England,1,DCFC,Corridor,Paid,Other US,False,False
936,Undesignated,Metro Area,New England,1,DCFC,Undesignated,Free,Other US,False,False
924,"Burlington-South Burlington, VT Metro Area",Metro Area,New England,1,DCFC,Undesignated,Paid,Other US,False,False
952,"Burlington-South Burlington, VT Metro Area",Metro Area,New England,1,DCFC,Undesignated,Free,Other US,False,False
14040,"Providence-Warwick, RI-MA Metro Area",Metro Area,New England,1,DCFC,Corridor,Paid,Other US,False,False
13991,Undesignated,Metro Area,New England,1,DCFC,Undesignated,Free,Other US,False,False
14060,"Providence-Warwick, RI-MA Metro Area",Metro Area,New England,1,DCFC,Corridor,Paid,Other US,False,False
14095,Undesignated,Metro Area,New England,1,DCFC,Corridor,Paid,Other US,False,False
14097,Undesignated,Metro Area,New England,1,DCFC,Undesignated,Free,Other US,False,False
13540,"Boston-Cambridge-Newton, MA-NH Metro Area",Metro Area,New England,1,DCFC,Corridor,Undesignated,Other US,False,False
26517,"Providence-Warwick, RI-MA Metro Area",Metro Area,New England,1,DCFC,Undesignated,Paid,Other US,False,False
22302,"Providence-Warwick, RI-MA Metro Area",Metro Area,New England,1,DCFC,Undesignated,Paid,Other US,False,False
26858,"Worcester, MA-CT Metro Area",Metro Area,New England,1,DCFC,Corridor,Paid,Other US,False,False
26887,"Burlington-South Burlington, VT Metro Area",Metro Area,New England,1,DCFC,Undesignated,Paid,Other US,False,False
26888,"Burlington-South Burlington, VT Metro Area",Metro Area,New England,1,DCFC,Undesignated,Paid,Other US,False,False
22520,"Providence-Warwick, RI-MA Metro Area",Metro Area,New England,1,DCFC,Corridor,Paid,Other US,False,False
22521,"Providence-Warwick, RI-MA Metro Area",Metro Area,New England,1,DCFC,Corridor,Paid,Other US,False,False
22509,Undesignated,Metro Area,New England,1,DCFC,Corridor,Paid,Other US,False,False
26557,"Boston-Cambridge-Newton, MA-NH Metro Area",Metro Area,New England,1,DCFC,Corridor,Paid,Other US,False,False
26558,"Boston-Cambridge-Newton, MA-NH Metro Area",Metro Area,New England,1,DCFC,Corridor,Paid,Other US,False,False
26559,"Boston-Cambridge-Newton, MA-NH Metro Area",Metro Area,New England,1,DCFC,Corridor,Paid,Other US,False,False
26560,"Boston-Cambridge-Newton, MA-NH Metro Area",Metro Area,New England,1,DCFC,Corridor,Paid,Other US,False,False
22421,Undesignated,Metro Area,New England,1,DCFC,Undesignated,Free,Other US,False,False
26718,"Providence-Warwick, RI-MA Metro Area",Metro Area,New England,1,DCFC,Corridor,Paid,Other US,False,False
26612,"Providence-Warwick, RI-MA Metro Area",Metro Area,New England,1,DCFC,Corridor,Free,Other US,False,False
26613,"Providence-Warwick, RI-MA Metro Area",Metro Area,New England,1,DCFC,Corridor,Free,Other US,False,False
26614,"Providence-Warwick, RI-MA Metro Area",Metro Area,New England,1,DCFC,Corridor,Free,Other US,False,False
26615,"Providence-Warwick, RI-MA Metro Area",Metro Area,New England,1,DCFC,Corridor,Free,Other US,False,False
26616,"Providence-Warwick, RI-MA Metro Area",Metro Area,New England,1,DCFC,Corridor,Free,Other US,False,False
26617,"Providence-Warwick, RI-MA Metro Area",Metro Area,New England,1,DCFC,Corridor,Free,Other US,False,False
30157,"Providence-Warwick, RI-MA Metro Area",Metro Area,New England,1,DCFC,Corridor,Free,Other US,False,False
30158,"Providence-Warwick, RI-MA Metro Area",Metro Area,New England,1,DCFC,Corridor,Free,Other US,False,False
30051,"Providence-Warwick, RI-MA Metro Area",Metro Area,New England,1,DCFC,Undesignated,Free,Other US,False,False
41010,"Boston-Cambridge-Newton, MA-NH Metro Area",Metro Area,New England,1,DCFC,Undesignated,Paid,Other US,False,False
41204,"Boston-Cambridge-Newton, MA-NH Metro Area",Metro Area,New England,1,DCFC,Undesignated,Paid,Other US,False,False
1758,"Seattle-Tacoma-Bellevue, WA Metro Area",Metro Area,Pacific,1,DCFC,Undesignated,Paid,Other US,False,False
1854,Undesignated,Metro Area,Pacific,1,DCFC,Undesignated,Free,Other US,False,False
1855,"Portland-Vancouver-Hillsboro, OR-WA Metro Area",Metro Area,Pacific,1,DCFC,Undesignated,Free,Other US,False,False
1861,"Portland-Vancouver-Hillsboro, OR-WA Metro Area",Metro Area,Pacific,1,DCFC,Undesignated,Free,Other US,False,False
1868,"Portland-Vancouver-Hillsboro, OR-WA Metro Area",Metro Area,Pacific,1,DCFC,Undesignated,Free,Other US,False,False
1900,Undesignated,Metro Area,Pacific,1,DCFC,Undesignated,Free,Other US,False,False
