hour,is_weekend,energy_kwh,total_duration,charge_duration,is_dcfc,overstay_hours,venue,land_use,cluster,pca1,pca2
15,0,12.767,0.8472222222222222,0.3563888888888888,1,0.4908333333333334,Undesignated,Metro Area,3,-2.859238205650931,0.31956515293564924
20,0,0.8283799999999999,0.2597222222222222,0.2533333333333333,0,0.006388888888888888,Municipal Building,Metro Area,0,-1.507812951003856,0.05683513511425944
15,1,4.518,1.4561111111111111,1.4480555555555557,0,0.008055555555555483,Business Office,Non-Metro,0,-0.6039232731199492,-3.751980281884392
18,1,1.0707,37.408611111111114,0.1152777777777777,0,37.29333333333334,Single Family Residential,Metro Area,1,1.9801971226501762,-0.6275613337648748
23,0,12.184,0.2858333333333333,0.2783333333333333,1,0.007499999999999951,Undesignated,Metro Area,3,-3.1637632147003862,0.2532002110243842
8,0,18.3629,5.014722222222222,2.0144444444444445,0,3.0002777777777774,Single Family Residential,Metro Area,1,1.033487357582434,0.08012894339749957
14,1,9.343435,3.639166666666666,3.0805555555555557,0,0.5586111111111105,Retail,Metro Area,0,-0.06777282669494634,0.5474160363133848
18,0,31.288601,12.801111111111114,3.3322222222222213,0,9.468888888888893,Single Family Residential,Metro Area,1,2.1909443104946313,0.04971586649637801
19,1,6.416338,5.661666666666667,3.710555555555555,0,1.951111111111112,Business Office,Metro Area,0,0.75837600212128,0.6324163627531444
16,0,5.8303,16.38111111111111,2.0755555555555554,0,14.305555555555555,Single Family Residential,Metro Area,1,2.06098409457271,-0.16023000402270327
23,0,5.9575,8.0,0.9975,0,7.0024999999999995,Single Family Residential,Undesignated,2,1.437343080785342,-4.6830866514982
9,0,5.515662,6.834444444444444,1.7419444444444443,0,5.0925,Medical or Educational Campus,Undesignated,2,0.814489771930894,-3.7055578573022623
19,0,21.496401,2.8938888888888887,2.863888888888889,0,0.029999999999999805,Single Family Residential,Metro Area,1,0.6207539412223552,0.06892474319667777
6,0,9.692,10.236944444444443,2.2647222222222223,0,7.972222222222221,Business Office,Metro Area,0,1.112332426808906,0.8391545940078841
