vehicle_id,ownership,electrification_level,vehicle_type,state,sessions,mean_soc_start,median_soc_start,sd_soc_start,mean_soc_gain,mean_energy,soc_persona,soc_persona_label
0,Fleet,PHEV (Plug-in Hybrid Electric Vehicle),PASSENGER CAR,New York,31,72.90322580645162,85.0,19.355197129297817,11.451612903225806,1.5077774193548386,1,top-up chargers
1,Fleet,PHEV (Plug-in Hybrid Electric Vehicle),PASSENGER CAR,New York,6,79.16666666666667,85.0,22.00378755275252,11.666666666666666,1.6051,1,top-up chargers
2,Fleet,PHEV (Plug-in Hybrid Electric Vehicle),PASSENGER CAR,New York,27,81.48148148148148,85.0,18.07116353661135,10.925925925925926,1.4970666666666668,1,top-up chargers
3,Fleet,PHEV (Plug-in Hybrid Electric Vehicle),PASSENGER CAR,New York,14,71.78571428571429,80.0,25.540852860371846,12.142857142857142,1.45185,1,top-up chargers
4,Fleet,PHEV (Plug-in Hybrid Electric Vehicle),PASSENGER CAR,New York,6,84.16666666666667,92.5,19.60017006728938,7.5,1.1043666666666667,1,top-up chargers
5,Fleet,BEV (Battery Electric Vehicle),PASSENGER CAR,New York,188,84.36170212765957,85.0,10.852290784395999,15.106382978723405,8.98404255319149,1,top-up chargers
6,Fleet,BEV (Battery Electric Vehicle),PASSENGER CAR,New York,281,77.52669039145907,80.0,12.970577944781697,21.548042704626333,12.837010676156583,1,top-up chargers
7,Fleet,BEV (Battery Electric Vehicle),MULTIPURPOSE PASSENGER VEHICLE (MPV),New York,70,48.07142857142857,45.0,16.988761356330844,48.142857142857146,27.26142857142857,0,deep chargers
8,Fleet,BEV (Battery Electric Vehicle),MULTIPURPOSE PASSENGER VEHICLE (MPV),New York,72,69.86111111111111,75.0,21.963032677247618,16.38888888888889,9.883333333333333,1,top-up chargers
9,Fleet,BEV (Battery Electric Vehicle),PASSENGER CAR,New York,127,80.59055118110236,85.0,13.6075109573975,18.46456692913386,11.036220472440943,1,top-up chargers
12,Fleet,BEV (Battery Electric Vehicle),PASSENGER CAR,Georgia,71,94.36619718309859,95.0,6.810159294591149,5.352112676056338,3.789859154929577,1,top-up chargers
14,Fleet,BEV (Battery Electric Vehicle),PASSENGER CAR,Georgia,30,71.83333333333333,72.5,23.46983880075305,21.666666666666668,12.751333333333331,1,top-up chargers
20,Fleet,BEV (Battery Electric Vehicle),PASSENGER CAR,Georgia,120,94.08333333333333,95.0,6.950706793555028,5.833333333333333,3.8839166666666665,1,top-up chargers
21,Fleet,BEV (Battery Electric Vehicle),PASSENGER CAR,Georgia,157,92.07006369426752,95.0,8.898368223848635,7.32484076433121,4.809936305732484,1,top-up chargers
23,Personal,BEV (Battery Electric Vehicle),PASSENGER CAR,California,34,67.6470588235294,72.5,19.70368732287556,20.0,8.512352941176472,1,top-up chargers
24,Personal,BEV (Battery Electric Vehicle),PASSENGER CAR,Other,60,77.83333333333333,75.0,11.474609652039002,9.833333333333334,5.515,1,top-up chargers
26,Fleet,BEV (Battery Electric Vehicle),PASSENGER CAR,New York,105,77.9047619047619,80.0,16.867426397055166,20.857142857142858,12.456761904761905,1,top-up chargers
29,Fleet,PHEV (Plug-in Hybrid Electric Vehicle),PASSENGER CAR,New York,12,77.5,87.5,27.757062983221864,11.666666666666666,1.4646333333333335,1,top-up chargers
33,Fleet,BEV (Battery Electric Vehicle),PASSENGER CAR,New York,132,72.5,80.0,22.43310666869751,22.765151515151516,13.486363636363636,1,top-up chargers
34,Fleet,BEV (Battery Electric Vehicle),PASSENGER CAR,New York,203,69.97536945812809,70.0,16.148272881822233,23.7192118226601,14.07487684729064,1,top-up chargers
35,Fleet,BEV (Battery Electric Vehicle),MULTIPURPOSE PASSENGER VEHICLE (MPV),New York,141,80.88652482269504,85.0,14.883880157780267,16.843971631205672,10.040425531914893,1,top-up chargers
36,Fleet,BEV (Battery Electric Vehicle),PASSENGER CAR,New York,191,81.51832460732984,85.0,14.125319905809,16.98952879581152,10.159162303664923,1,top-up chargers
38,Fleet,BEV (Battery Electric Vehicle),PASSENGER CAR,Georgia,37,83.91891891891892,85.0,6.885485452014981,7.4324324324324325,4.239072972972973,1,top-up chargers
41,Fleet,BEV (Battery Electric Vehicle),PASSENGER CAR,Georgia,179,81.00558659217877,85.0,14.155833040273146,16.98324022346369,10.477988826815642,1,top-up chargers
48,Fleet,BEV (Battery Electric Vehicle),PASSENGER CAR,Georgia,277,74.47653429602889,75.0,12.496245446701899,24.620938628158846,15.173212996389891,1,top-up chargers
53,Fleet,BEV (Battery Electric Vehicle),PASSENGER CAR,Colorado,111,41.171171171171174,40.0,16.08153875149666,43.333333333333336,31.04387027027027,0,deep chargers
55,Fleet,BEV (Battery Electric Vehicle),PASSENGER CAR,Colorado,209,54.52153110047847,55.0,24.845885852557295,36.5311004784689,21.40928229665072,0,deep chargers
56,Fleet,BEV (Battery Electric Vehicle),PASSENGER CAR,Colorado,173,57.83236994219653,60.0,21.595130093827258,21.069364161849713,12.369919075144509,0,deep chargers
57,Fleet,BEV (Battery Electric Vehicle),PASSENGER CAR,Colorado,148,55.70945945945946,55.0,23.3066669911517,28.243243243243242,20.129448648648648,0,deep chargers
58,Fleet,BEV (Battery Electric Vehicle),PASSENGER CAR,Colorado,376,46.422872340425535,45.0,23.452861278054314,43.41755319148936,25.110000000000003,0,deep chargers
59,Fleet,BEV (Battery Electric Vehicle),PASSENGER CAR,Colorado,299,51.35451505016722,45.0,26.943043417667504,38.979933110367895,22.30963210702341,0,deep chargers
60,Fleet,BEV (Battery Electric Vehicle),PASSENGER CAR,Colorado,250,53.42,55.0,24.617630081780288,37.48,22.00752,0,deep chargers
61,Fleet,BEV (Battery Electric Vehicle),PASSENGER CAR,Colorado,223,44.82062780269058,40.0,24.15628777862459,45.874439461883405,26.368071748878922,0,deep chargers
62,Fleet,BEV (Battery Electric Vehicle),PASSENGER CAR,Colorado,120,54.625,55.0,22.107097039091283,30.541666666666668,18.285666666666664,0,deep chargers
64,Fleet,BEV (Battery Electric Vehicle),PASSENGER CAR,Colorado,537,63.7243947858473,65.0,23.23433553631355,22.439478584729983,13.09024208566108,0,deep chargers
65,Fleet,BEV (Battery Electric Vehicle),PASSENGER CAR,Colorado,520,53.5,50.0,21.33230970569235,41.85576923076923,24.9985,0,deep chargers
