region,land_use,pricing,sessions,energy_kwh,duration_hours,evse_count,energy_per_evse,sessions_per_evse_month
East North Central,Metro Area,Free,1006285,15998729.280565,10152956.925,3476.0,4602.626375306387,6.732444402815318
East North Central,Metro Area,Paid,202522,3987098.780795,604867.0536111111,419.0,9515.748880178997,11.240606094244324
East North Central,Metro Area,Undesignated,84292,1054335.14791,2170611.4880555556,314.0,3357.755248121019,6.242926973781662
East North Central,Non-Metro,Free,25235,347953.244845,281253.12361111114,171.0,2034.8142973391812,3.431932544539644
East North Central,Non-Metro,Paid,10551,246937.080534,18415.369166666667,47.0,5253.9804368936175,5.220682830282039
East North Central,Non-Metro,Undesignated,340,3590.126498,4055.4158333333335,4.0,897.5316245,1.9767441860465116
East North Central,Undesignated,Free,69999,1381575.097693,622522.5961111111,216.0,6396.181007837963,7.536498708010336
East North Central,Undesignated,Paid,31453,606509.596066,79948.03888888888,55.0,11027.4472012,13.29936575052854
East North Central,Undesignated,Undesignated,1109,11018.910638000001,6077.203611111111,9.0,1224.3234042222223,2.8656330749354004
East South Central,Metro Area,Free,203627,3513926.630784,2263086.393888889,935.0,3758.210300303743,5.064718318617087
East South Central,Metro Area,Paid,41767,684001.45748,157885.90083333332,164.0,4170.740594390244,5.922716959727737
East South Central,Metro Area,Undesignated,74148,929349.089175,423230.0588888889,92.0,10101.62053451087,18.743174924165825
East South Central,Non-Metro,Free,10801,207708.95812,136544.42444444445,57.0,3644.016809122807,4.406772745818033
East South Central,Non-Metro,Paid,2332,41677.821597,6936.3405555555555,18.0,2315.434533166667,3.012919896640827
East South Central,Non-Metro,Undesignated,157,1248.138501,2016.0705555555555,1.0,1248.138501,3.6511627906976742
East South Central,Undesignated,Free,12321,204231.217327,103692.22194444445,80.0,2552.8902165874997,3.581686046511628
East South Central,Undesignated,Paid,6001,127716.52961700001,20663.275833333333,17.0,7512.737036294118,8.209302325581396
East South Central,Undesignated,Undesignated,28,228.560422,98.81027777777777,2.0,114.280211,0.32558139534883723
Middle Atlantic,Metro Area,Free,857339,18617064.950318,8030193.861666666,3285.0,5667.295266459057,6.069441789671162
Middle Atlantic,Metro Area,Paid,268111,5000160.995161,1120550.371111111,707.0,7072.363500934936,8.819150685832703
Middle Atlantic,Metro Area,Undesignated,666854,8949207.991558,3689549.383888889,1913.0,4678.10140698275,8.106760354490087
Middle Atlantic,Non-Metro,Free,1680,23732.675422,17772.534722222223,9.0,2636.963935777778,4.341085271317829
Middle Atlantic,Non-Metro,Paid,81,2483.7810280000003,47.81166666666667,2.0,1241.8905140000002,0.9418604651162791
Middle Atlantic,Non-Metro,Undesignated,8018,100109.917,31640.559166666666,47.0,2129.998234042553,3.967342899554676
Middle Atlantic,Undesignated,Free,13755,231533.823793,136246.28805555555,112.0,2067.2662838660713,2.8561046511627906
Middle Atlantic,Undesignated,Paid,5998,91939.149249,18852.50527777778,22.0,4179.052238590909,6.340380549682875
Middle Atlantic,Undesignated,Undesignated,53738,805837.2771,260316.58305555556,167.0,4825.372916766467,7.483358863668013
Mountain,Metro Area,Free,814935,14400760.297637999,4916204.661388889,1565.0,9201.763768458786,12.109889293409614
Mountain,Metro Area,Paid,149698,2756197.056883,453646.63194444444,315.0,8749.831926612698,11.051901070505721
Mountain,Metro Area,Undesignated,547513,7347267.7097040005,3181498.6241666665,1088.0,6753.003409654412,11.702996751025992
Mountain,Non-Metro,Free,26626,844518.811862,58644.405,54.0,15639.237256703704,11.46683893195521
Mountain,Non-Metro,Paid,21003,530337.7158230001,32062.156944444443,60.0,8838.961930383335,8.140697674418604
Mountain,Non-Metro,Undesignated,173049,2922671.918999,723613.305,310.0,9427.97393225484,12.98192048012003
Mountain,Undesignated,Free,11887,187374.331601,64091.52972222222,43.0,4357.542595372093,6.428880475932937
Mountain,Undesignated,Paid,6657,158335.453522,48883.055555555555,40.0,3958.3863380499997,3.8703488372093022
Mountain,Undesignated,Undesignated,12474,186697.89420799998,50931.14527777778,37.0,5045.889032648648,7.840351979886863
New England,Metro Area,Free,618704,9511492.768168,6105305.898611112,1967.0,4835.532673191663,7.314928884737707
New England,Metro Area,Paid,179651,2841676.463102,825021.6411111112,447.0,6357.218038259507,9.346600072837001
New England,Metro Area,Undesignated,248607,3705040.330356,1457235.193888889,704.0,5262.841378346591,8.21244053911205
New England,Non-Metro,Free,173935,2465511.7408890002,1934626.4166666667,676.0,3647.2067172914203,5.983727810650888
New England,Non-Metro,Paid,18516,338343.17845,55394.82138888889,40.0,8458.57946125,10.765116279069767
New England,Non-Metro,Undesignated,6778,76066.906096,25737.791666666668,17.0,4474.523888000001,9.272229822161423
New England,Undesignated,Free,249809,3525708.605377,2914444.535833333,1025.0,3439.7157125629265,5.66781622234827
New England,Undesignated,Paid,15766,282898.369751,27263.520555555555,41.0,6899.960237829268,8.942711287577993
New England,Undesignated,Undesignated,3676,48446.543413,29521.843333333334,26.0,1863.3285928076923,3.2880143112701252
Pacific,Metro Area,Free,1163478,28167135.299953,9129101.781388888,4308.0,6538.332242328923,6.280786422232299
Pacific,Metro Area,Paid,1019999,18292054.787315,2504095.423611111,1192.0,15345.683546405202,19.90008974559076
Pacific,Metro Area,Undesignated,46158,811016.978294,217979.3961111111,235.0,3451.136077846809,4.567837704106878
Pacific,Non-Metro,Free,11982,192822.319968,82338.76083333333,56.0,3443.255713714286,4.975913621262459
Pacific,Non-Metro,Paid,17685,376754.046166,37526.99638888889,49.0,7688.858085020409,8.39345040341718
Pacific,Non-Metro,Undesignated,41,1093.4734990000002,336.72,1.0,1093.4734990000002,0.9534883720930233
Pacific,Undesignated,Free,42149,785616.692359,309379.4825,188.0,4178.812193398936,5.213879267689263
Pacific,Undesignated,Paid,30289,634854.860188,42435.911944444444,51.0,12448.134513490197,13.811673506611948
Pacific,Undesignated,Undesignated,58,872.319194,486.21750000000003,4.0,218.0797985,0.3372093023255814
South Atlantic,Metro Area,Free,1277527,21708062.474666,12894735.852777777,4598.0,4721.196710453675,6.461489828742527
South Atlantic,Metro Area,Paid,464410,8273417.855828,2087725.7155555557,859.0,9631.452684316648,12.573029753363835
South Atlantic,Metro Area,Undesignated,30791,487877.395983463,168338.73888888888,171.0,2853.0841870377953,4.187542499660003
South Atlantic,Non-Metro,Free,171,4293.028979,151.21944444444443,4.0,1073.25724475,0.9941860465116279
South Atlantic,Non-Metro,Paid,7231,203819.965951,4835.513333333333,11.0,18529.08781372727,15.28752642706131
South Atlantic,Non-Metro,Undesignated,628,14888.660044626,1471.9433333333332,13.0,1145.2815418943078,1.1234347048300537
South Atlantic,Undesignated,Free,6802,124269.754502,55379.36027777778,56.0,2219.102758964286,2.824750830564784
South Atlantic,Undesignated,Paid,24441,629043.452581,18739.503055555557,53.0,11868.744388320756,10.72444054409829
South Atlantic,Undesignated,Undesignated,549,13800.773028,946.2322222222222,9.0,1533.4192253333333,1.4186046511627908
West North Central,Metro Area,Free,354044,4750791.673992,3082758.4725,1142.0,4160.062761814361,7.209791064228404
West North Central,Metro Area,Paid,232788,3055229.563271,958569.0372222222,554.0,5514.854807348375,9.77197548484594
West North Central,Metro Area,Undesignated,12141,179456.560329,65237.82361111111,46.0,3901.229572369565,6.138018200202224
West North Central,Non-Metro,Free,13796,207179.567493,112686.92305555556,78.0,2656.148301192308,4.11329755515802
West North Central,Non-Metro,Paid,8770,230673.88694599998,12481.720277777778,32.0,7208.5589670624995,6.373546511627907
West North Central,Non-Metro,Undesignated,1738,59682.215616,1204.4063888888888,5.0,11936.4431232,8.083720930232559
