evse_id,metro_area,land_use,region,num_ports,charge_level,venue,pricing,is_corridor,is_metro
6034,Undesignated,Metro Area,Mountain,1,DCFC,Corridor,Paid,True,True
6065,Undesignated,Metro Area,Mountain,1,DCFC,Corridor,Paid,True,True
6100,"Phoenix-Mesa-Chandler, AZ Metro Area",Metro Area,Mountain,1,DCFC,Undesignated,Free,False,True
6155,Undesignated,Metro Area,Mountain,1,DCFC,Corridor,Paid,True,True
1315,"Denver-Aurora-Lakewood, CO Metro Area",Metro Area,Mountain,1,DCFC,Corridor,Free,True,True
1573,"Denver-Aurora-Lakewood, CO Metro Area",Metro Area,Mountain,1,DCFC,Corridor,Paid,True,True
1686,"Denver-Aurora-Lakewood, CO Metro Area",Metro Area,Mountain,1,DCFC,Corridor,Free,True,True
1717,Undesignated,Metro Area,Mountain,1,DCFC,Corridor,Paid,True,True
1728,"Phoenix-Mesa-Chandler, AZ Metro Area",Metro Area,Mountain,1,DCFC,Undesignated,Free,False,True
1789,"Phoenix-Mesa-Chandler, AZ Metro Area",Metro Area,Mountain,1,DCFC,Undesignated,Free,False,True
1953,Undesignated,Metro Area,Mountain,1,DCFC,Undesignated,Free,False,True
591,"Boulder, CO Metro Area",Metro Area,Mountain,1,DCFC,Corridor,Undesignated,True,True
840,"Phoenix-Mesa-Chandler, AZ Metro Area",Metro Area,Mountain,1,DCFC,Undesignated,Paid,False,True
1263,Undesignated,Metro Area,Mountain,1,DCFC,Corridor,Free,True,True
5288,Undesignated,Metro Area,Mountain,1,DCFC,Corridor,Paid,True,True
5298,Undesignated,Metro Area,Mountain,1,DCFC,Corridor,Paid,True,True
5314,Undesignated,Metro Area,Mountain,1,DCFC,Corridor,Paid,True,True
5304,"Denver-Aurora-Lakewood, CO Metro Area",Metro Area,Mountain,1,DCFC,Corridor,Free,True,True
5306,Undesignated,Metro Area,Mountain,1,DCFC,Corridor,Paid,True,True
5327,"Denver-Aurora-Lakewood, CO Metro Area",Metro Area,Mountain,1,DCFC,Corridor,Free,True,True
5368,Undesignated,Metro Area,Mountain,1,DCFC,Corridor,Paid,True,True
13993,Undesignated,Metro Area,Mountain,1,DCFC,Corridor,Free,True,True
14005,Undesignated,Metro Area,Mountain,1,DCFC,Corridor,Free,True,True
26685,Undesignated,Metro Area,Mountain,1,DCFC,Corridor,Paid,True,True
26525,"Denver-Aurora-Lakewood, CO Metro Area",Metro Area,Mountain,1,DCFC,Corridor,Free,True,True
26531,Undesignated,Metro Area,Mountain,1,DCFC,Corridor,Paid,True,True
22522,Undesignated,Metro Area,Mountain,1,DCFC,Undesignated,Free,False,True
22525,Undesignated,Metro Area,Mountain,1,DCFC,Undesignated,Free,False,True
26936,"Phoenix-Mesa-Chandler, AZ Metro Area",Metro Area,Mountain,1,DCFC,Undesignated,Free,False,True
26938,"Phoenix-Mesa-Chandler, AZ Metro Area",Metro Area,Mountain,1,DCFC,Undesignated,Free,False,True
23066,Undesignated,Metro Area,Mountain,1,DCFC,Corridor,Undesignated,True,True
22950,"Boulder, CO Metro Area",Metro Area,Mountain,1,DCFC,Undesignated,Undesignated,False,True
29969,"Denver-Aurora-Lakewood, CO Metro Area",Metro Area,Mountain,1,DCFC,Undesignated,Free,False,True
29902,Undesignated,Metro Area,Mountain,1,DCFC,Corridor,Paid,True,True
30241,"Denver-Aurora-Lakewood, CO Metro Area",Metro Area,Mountain,1,DCFC,Undesignated,Free,False,True
30242,"Denver-Aurora-Lakewood, CO Metro Area",Metro Area,Mountain,1,DCFC,Undesignated,Free,False,True
33709,"Denver-Aurora-Lakewood, CO Metro Area",Metro Area,Mountain,1,DCFC,Undesignated,Free,False,True
37299,"Denver-Aurora-Lakewood, CO Metro Area",Metro Area,Mountain,1,DCFC,Undesignated,Free,False,True
41420,Undesignated,Metro Area,Mountain,1,DCFC,Undesignated,Free,False,True
41221,"Phoenix-Mesa-Chandler, AZ Metro Area",Metro Area,Mountain,1,DCFC,Undesignated,Free,False,True
