flag_bit,flag_name,rows,share_all_sessions
64,under_2_5_min,357188,0.025628325847989217
256,low_kwh_lt_0_3,338913,0.024317090154539263
2,overlap,275145,0.01974172064975585
32,charge_kwh_gt_battery_120pct,260552,0.018694669351560764
4,start_soc_gt_end_soc,97155,0.00697089487262
8192,energy_kwh_null,46929,0.003367167160487715
1,unrealistic_kw,34876,0.002502361479877465
128,zero_kwh,18749,0.0013452453087000398
32768,end_datetime_missing,90,6.457521882927281e-06
1024,internal_usage,14,1.0045034040109104e-06
65536,negative_charge_duration,14,1.0045034040109104e-06
16,duplicate_row,0,0.0
512,trip_overlaps_charge,0,0.0
2048,high_wh_per_mi_trip,0,0.0
4096,estimated_home_location,0,0.0
8,kwh_gt_battery_120pct,0,0.0
16384,no_dst_observed,0,0.0
