region,venue,charge_level,rows,flagged,flag_rate
East North Central,Business Office,L2,134592,10583,0.07863023062291964
East North Central,Corridor,DCFC,108458,5526,0.05095059838831621
East North Central,Fleet,L2,69696,5132,0.07363406795224978
East North Central,Hotel,L2,4873,233,0.0478144879950749
East North Central,Leisure Destination,L2,13728,699,0.05091783216783217
East North Central,Medical or Educational Campus,L2,99037,8158,0.0823732544402597
East North Central,Multi-Unit Dwelling,L2,74290,2359,0.03175393727284964
East North Central,Multi-use Parking Garage/Lot,L2,84392,7165,0.08490141245615698
East North Central,Municipal Building,L2,22057,1502,0.06809629596046607
East North Central,Retail,L2,39617,2298,0.058005401721483205
East North Central,Single Family Residential,L2,812446,70107,0.0862912735123319
East North Central,Undesignated,DCFC,83092,6135,0.07383382275068599
East North Central,Undesignated,L2,6405,311,0.048555815768930526
East South Central,Business Office,L2,77861,7704,0.09894555682562516
East South Central,Corridor,DCFC,9540,672,0.07044025157232704
East South Central,Fleet,L2,9360,748,0.07991452991452991
East South Central,Hotel,L2,2781,109,0.039194534340165406
East South Central,Leisure Destination,L2,6339,270,0.04259346900141978
East South Central,Medical or Educational Campus,L2,18949,996,0.05256214048234736
East South Central,Multi-Unit Dwelling,L2,32046,1106,0.0345128877238969
East South Central,Multi-use Parking Garage/Lot,L2,17550,1028,0.058575498575498576
East South Central,Municipal Building,L2,31248,5015,0.16049027137736815
East South Central,Retail,L2,18939,1416,0.07476635514018691
East South Central,Single Family Residential,L2,137138,6470,0.047178754247546265
East South Central,Undesignated,DCFC,10955,959,0.08753993610223643
East South Central,Undesignated,L2,6294,231,0.03670162059103908
Middle Atlantic,Business Office,L2,342496,25013,0.07303150985704943
Middle Atlantic,Corridor,DCFC,38578,2705,0.070117683653896
Middle Atlantic,Fleet,L2,49174,2258,0.045918574856631554
Middle Atlantic,Hotel,L2,41718,4229,0.10137111079150486
Middle Atlantic,Leisure Destination,L2,86019,11330,0.13171508620188563
Middle Atlantic,Medical or Educational Campus,L2,261765,22695,0.08669990258437912
Middle Atlantic,Multi-Unit Dwelling,L2,185382,9805,0.05289078767086341
Middle Atlantic,Multi-use Parking Garage/Lot,L2,154013,12724,0.0826164025114763
Middle Atlantic,Municipal Building,L2,161012,14917,0.09264526867562665
Middle Atlantic,Retail,L2,136833,14804,0.10819027573757792
Middle Atlantic,Single Family Residential,L2,458710,25269,0.055087092062523164
Middle Atlantic,Transit Facility,L2,14010,1272,0.09079229122055675
Middle Atlantic,Undesignated,DCFC,111795,12042,0.1077150140882866
Middle Atlantic,Undesignated,L2,1102,140,0.12704174228675136
Mountain,Business Office,L2,214706,19507,0.09085447076467355
Mountain,Corridor,DCFC,227400,18358,0.08072999120492524
Mountain,Fleet,L2,42178,4319,0.1023993551140405
Mountain,Hotel,L2,42366,4825,0.11388849549166785
Mountain,Leisure Destination,L2,198084,17237,0.0870186385573797
Mountain,Medical or Educational Campus,L2,163877,17267,0.10536560957303344
Mountain,Multi-Unit Dwelling,L2,205509,10108,0.04918519383579308
Mountain,Multi-use Parking Garage/Lot,L2,180666,18442,0.10207786744600533
Mountain,Municipal Building,L2,164914,19490,0.11818281043452951
Mountain,Retail,L2,87265,11067,0.12682060390763766
Mountain,Single Family Residential,L2,227442,17037,0.07490700925950353
Mountain,Transit Facility,L2,4875,1085,0.22256410256410256
Mountain,Undesignated,DCFC,184352,10132,0.05496007637562923
Mountain,Undesignated,L2,2447,190,0.07764609726195341
New England,Business Office,L2,133784,8079,0.06038838725109131
New England,Corridor,DCFC,70300,4346,0.06182076813655761
New England,Fleet,L2,20520,1009,0.049171539961013644
New England,Hotel,L2,12518,1187,0.09482345422591468
New England,Leisure Destination,L2,31472,2281,0.07247712252160651
New England,Medical or Educational Campus,L2,110032,6641,0.06035516940526392
New England,Multi-Unit Dwelling,L2,118741,4900,0.041266285444791606
New England,Multi-use Parking Garage/Lot,L2,86646,6763,0.07805322807746462
New England,Municipal Building,L2,157381,11790,0.07491374435287614
New England,Retail,L2,46841,3457,0.07380286501142162
New England,Single Family Residential,L2,748203,42594,0.05692840044747215
New England,Transit Facility,L2,36766,1983,0.05393570146330849
New England,Undesignated,DCFC,31578,3980,0.12603711444676674
New England,Undesignated,L2,12334,962,0.07799578401167505
Pacific,Business Office,L2,237470,12326,0.05190550385311829
Pacific,Corridor,DCFC,682822,36499,0.05345316934720908
Pacific,Fleet,L2,23505,1293,0.05500957243139758
Pacific,Hotel,L2,6071,307,0.05056827540767583
Pacific,Leisure Destination,L2,6837,355,0.05192335819804007
Pacific,Medical or Educational Campus,L2,51743,2548,0.04924337591558278
Pacific,Multi-Unit Dwelling,L2,170219,5434,0.03192358079885324
Pacific,Multi-use Parking Garage/Lot,L2,27770,1845,0.06643860280878645
Pacific,Municipal Building,L2,13404,486,0.03625783348254252
Pacific,Retail,L2,45643,2123,0.04651315645334443
Pacific,Single Family Residential,L2,579088,31944,0.05516260050285967
Pacific,Transit Facility,L2,8021,547,0.06819598553796284
Pacific,Undesignated,DCFC,605341,49309,0.08145656745536813
Pacific,Undesignated,L2,20325,1324,0.06514145141451415
South Atlantic,Business Office,L2,132454,7058,0.05328642396605614
South Atlantic,Corridor,DCFC,160654,17455,0.10864964457778829
South Atlantic,Fleet,L2,43679,1231,0.02818287964468051
South Atlantic,Hotel,L2,27090,1974,0.07286821705426356
South Atlantic,Leisure Destination,L2,17679,844,0.047740256801855306
South Atlantic,Medical or Educational Campus,L2,70221,5814,0.08279574486264793
South Atlantic,Multi-Unit Dwelling,L2,302903,12829,0.04235349270228423
South Atlantic,Multi-use Parking Garage/Lot,L2,28152,1497,0.053175618073316284
South Atlantic,Municipal Building,L2,116999,7690,0.06572705749621792
South Atlantic,Retail,L2,65351,4484,0.06861409924867255
South Atlantic,Single Family Residential,L2,815698,50920,0.06242506417816398
South Atlantic,Transit Facility,L2,8879,506,0.05698839959454893
South Atlantic,Undesignated,DCFC,154007,21356,0.13866902153798205
South Atlantic,Undesignated,L2,2684,138,0.05141579731743666
West North Central,Business Office,L2,85703,5930,0.06919244367175012
West North Central,Corridor,DCFC,45308,4501,0.09934227950913746
West North Central,Fleet,L2,14351,596,0.04153020695421922
West North Central,Hotel,L2,3196,223,0.0697747183979975
West North Central,Leisure Destination,L2,20502,979,0.047751438884011316
West North Central,Medical or Educational Campus,L2,34869,2425,0.06954601508503255
West North Central,Multi-Unit Dwelling,L2,68276,3057,0.04477415197141016
West North Central,Multi-use Parking Garage/Lot,L2,20394,1045,0.05124056094929881
West North Central,Municipal Building,L2,43948,2386,0.05429143533266588
West North Central,Retail,L2,108602,5408,0.049796504668422316
West North Central,Single Family Residential,L2,207625,14340,0.06906682721252258
West North Central,Undesignated,DCFC,41280,9758,0.23638565891472868
West North Central,Undesignated,L2,3890,166,0.042673521850899745
West South Central,Business Office,L2,27489,1157,0.04208956309796646
West South Central,Corridor,DCFC,59721,3703,0.06200498986956012
West South Central,Fleet,L2,49924,1462,0.029284512458937585
West South Central,Hotel,L2,3830,303,0.07911227154046997
West South Central,Medical or Educational Campus,L2,25959,1845,0.07107361608690628
West South Central,Multi-Unit Dwelling,L2,365251,11732,0.03212037749383301
West South Central,Multi-use Parking Garage/Lot,L2,54503,4114,0.07548208355503366
West South Central,Municipal Building,L2,5839,403,0.06901866758006509
West South Central,Retail,L2,27660,1863,0.06735357917570499
West South Central,Single Family Residential,L2,147867,8544,0.05778165513603441
West South Central,Transit Facility,L2,21000,3474,0.16542857142857142
West South Central,Undesignated,DCFC,36187,2374,0.06560366982618067
West South Central,Undesignated,L2,5884,472,0.08021753908905506
,,,445981,259862,0.5826750466948144
