charge_level,weekday,hour,sessions,energy_kwh
DCFC,Monday,0,4560,200965.325335
DCFC,Monday,1,3282,123580.34523400001
DCFC,Monday,2,2868,115135.003255
DCFC,Monday,3,2635,93543.735378
DCFC,Monday,4,3628,122109.667109
DCFC,Monday,5,4840,134328.987722
DCFC,Monday,6,7755,201987.627432
DCFC,Monday,7,12143,306054.838004
DCFC,Monday,8,16957,464231.959252
DCFC,Monday,9,18676,519586.693047
DCFC,Monday,10,20149,570850.642132
DCFC,Monday,11,22159,602131.217002
DCFC,Monday,12,24298,648228.26695
DCFC,Monday,13,23651,631613.786848
DCFC,Monday,14,23551,647579.38187
DCFC,Monday,15,23190,593492.588623
DCFC,Monday,16,23812,604559.238449
DCFC,Monday,17,22775,568424.0467910001
DCFC,Monday,18,20310,574966.074705
DCFC,Monday,19,16783,534892.09816
DCFC,Monday,20,13736,482391.692514
DCFC,Monday,21,11885,586198.837807
DCFC,Monday,22,8414,343930.332833
DCFC,Monday,23,6034,259619.929565
DCFC,Tuesday,0,4563,245231.905028
DCFC,Tuesday,1,3370,159864.260883
DCFC,Tuesday,2,2912,135032.944075
DCFC,Tuesday,3,2534,98165.834269
DCFC,Tuesday,4,3732,132912.003898
DCFC,Tuesday,5,5161,139541.388329
DCFC,Tuesday,6,8292,209163.113477
DCFC,Tuesday,7,12670,318786.685129
DCFC,Tuesday,8,17256,460505.322026
DCFC,Tuesday,9,19141,529605.3248000001
DCFC,Tuesday,10,20070,566661.230275
DCFC,Tuesday,11,21560,575800.890064
DCFC,Tuesday,12,23826,627903.749726
DCFC,Tuesday,13,23401,622486.932541
DCFC,Tuesday,14,23473,648593.260395
DCFC,Tuesday,15,23722,612075.600021
DCFC,Tuesday,16,23972,618547.235359
DCFC,Tuesday,17,23503,597824.135781
DCFC,Tuesday,18,20931,589637.215373
DCFC,Tuesday,19,17514,568846.242094
DCFC,Tuesday,20,14283,494164.336263
DCFC,Tuesday,21,12486,603420.49404
DCFC,Tuesday,22,8640,358014.608604
DCFC,Tuesday,23,6360,283231.267266
DCFC,Wednesday,0,4797,240469.130216
DCFC,Wednesday,1,3550,160942.684729
DCFC,Wednesday,2,3090,136831.124539
DCFC,Wednesday,3,2737,110853.695824
DCFC,Wednesday,4,3879,141049.670205
DCFC,Wednesday,5,5267,143104.144403
DCFC,Wednesday,6,8431,213279.227453
DCFC,Wednesday,7,12538,313587.923237
DCFC,Wednesday,8,17376,451668.733819
DCFC,Wednesday,9,19536,531758.769557
DCFC,Wednesday,10,20198,564711.484991
DCFC,Wednesday,11,21879,578011.012472
DCFC,Wednesday,12,24013,633898.6629069999
DCFC,Wednesday,13,23787,646911.739397
DCFC,Wednesday,14,24089,667639.922648
DCFC,Wednesday,15,23751,602404.908898
DCFC,Wednesday,16,24539,640251.439444
DCFC,Wednesday,17,23923,595509.324675
DCFC,Wednesday,18,21366,613490.0134459999
DCFC,Wednesday,19,18094,597992.2710139999
DCFC,Wednesday,20,15236,513445.167855
DCFC,Wednesday,21,12934,628147.992703
DCFC,Wednesday,22,8841,355152.373506
DCFC,Wednesday,23,6473,271002.674082
DCFC,Thursday,0,5018,257301.717262
DCFC,Thursday,1,3652,163668.677428
DCFC,Thursday,2,3233,138477.992657
DCFC,Thursday,3,2866,117005.575063
DCFC,Thursday,4,3830,134279.60725
DCFC,Thursday,5,5236,147914.07235
DCFC,Thursday,6,8660,231424.853642
DCFC,Thursday,7,12629,314114.580741
DCFC,Thursday,8,17754,466690.027613
DCFC,Thursday,9,19523,534181.080539
DCFC,Thursday,10,20758,555148.55575
DCFC,Thursday,11,22979,612183.533229
DCFC,Thursday,12,24722,658827.86696
DCFC,Thursday,13,24421,659863.445126
DCFC,Thursday,14,24667,672862.557421
