venue,charge_level,pricing,sessions,total_overstay,total_duration,mean_overstay,mean_overstay_ratio,median_overstay
Business Office,L2,Free,607081,2094493.5150000001,4000167.3666666667,3.450105529575131,0.5236014703918097,0.4852777777777777
Business Office,L2,Paid,302394,596236.6494444445,1446964.87,1.9717211632652911,0.4120602108636158,0.10694444444444406
Business Office,L2,Undesignated,376409,839366.6988888889,1957725.0172222224,2.229932596959395,0.42874596355715466,0.123611111111111
Corridor,DCFC,Free,285890,125916.82083333333,384927.22277777776,0.4404380035444868,0.3271185132729008,0.00944444444444445
Corridor,DCFC,Paid,924098,58325.21472222222,642424.9966666667,0.06311583265218865,0.09078914274016842,0.009722222222222188
Corridor,DCFC,Undesignated,97237,5663.644722222222,71815.43694444445,0.058245778070304746,0.07886389003806452,0.004027777777777769
Fleet,L2,Free,173689,3147781.9166666665,3907690.758888889,18.123093095513628,0.8055350617257404,7.340277777777779
Fleet,L2,Paid,25831,312821.50583333336,507725.4241666667,12.110313415405264,0.6161233827255539,0.13749999999999993
Fleet,L2,Undesignated,103521,2432302.2075,2764433.754722222,23.495737169270004,0.8798554869854005,9.849583333333335
Hotel,L2,Free,69254,149804.45888888888,371416.69083333336,2.163116338246006,0.40333259809293537,0.011666666666666714
Hotel,L2,Paid,26325,52094.37611111111,134887.0872222222,1.97889367943442,0.3862072877686748,0.010833333333333361
Hotel,L2,Undesignated,34886,105677.30416666667,233929.38166666665,3.0292181438590458,0.45174874320511643,0.015138888888888813
Leisure Destination,L2,Free,146651,258136.6913888889,648136.3022222222,1.7602109183632495,0.39827531725014115,0.010277777777778052
Leisure Destination,L2,Paid,60779,45497.41638888889,172745.47666666665,0.7485713221489148,0.26337833711664516,0.007222222222222019
Leisure Destination,L2,Undesignated,137200,190977.77583333335,499577.97472222225,1.3919662961613217,0.3822782138054059,0.006666666666666821
Medical or Educational Campus,L2,Free,275412,597603.2552777778,1416148.3255555555,2.1698519137792753,0.42199199370118085,0.2901388888888887
Medical or Educational Campus,L2,Paid,136955,172349.49805555557,531202.3905555556,1.258438889091713,0.32445166121203756,0.01166666666666627
Medical or Educational Campus,L2,Undesignated,351183,920461.4469444444,1935009.9305555555,2.621030764428929,0.47568822899021157,0.21291666666666675
Multi-Unit Dwelling,L2,Free,692177,4777174.019722222,7505017.218611111,6.901665353980589,0.6365307207924424,2.5619444444444444
Multi-Unit Dwelling,L2,Paid,666153,2623306.1319444445,5196638.404722222,3.937993421848201,0.5048082871343574,0.12138888888888877
Multi-Unit Dwelling,L2,Undesignated,102380,591809.9877777778,965771.35,5.780523420372903,0.6127847836631081,0.9165277777777778
Multi-use Parking Garage/Lot,L2,Free,281222,2741774.23,3724445.7358333333,9.749501212565162,0.7361563100842269,0.6311111111111112
Multi-use Parking Garage/Lot,L2,Paid,89292,476880.7833333333,733280.8219444444,5.3406887888425985,0.6503385457003855,0.01291666666666652
Multi-use Parking Garage/Lot,L2,Undesignated,226191,661847.2305555556,1320214.9458333333,2.9260546642242864,0.5013177836263555,0.011111111111111072
Municipal Building,L2,Free,145852,545967.8827777777,961664.2175,3.7433006251390295,0.5677323465326687,0.014166666666666883
Municipal Building,L2,Paid,136653,196988.30583333332,522990.4708333333,1.4415219997609516,0.37665754314691824,0.008611111111111125
Municipal Building,L2,Undesignated,365674,1192075.0094444444,2139489.115833333,3.259939206627883,0.5571774124123693,0.010277777777777664
Retail,L2,Free,242654,528794.7602777778,1034776.2111111111,2.179213036990026,0.5110233059087956,0.0072222222222220744
Retail,L2,Paid,159607,82317.21222222222,319445.3313888889,0.5157493858178038,0.25768794887163415,0.006388888888888888
Retail,L2,Undesignated,124677,126221.68722222223,377263.9786111111,1.0123895122775028,0.3345712667477678,0.006388888888888999
Single Family Residential,L2,Free,3831453,32711528.7775,42876577.020555556,8.537630182988021,0.7629230468145275,5.7740277777777775
Single Family Residential,L2,Paid,8123,19428.966666666667,46997.43305555556,2.3918461980384915,0.41340484795626453,0.011944444444444313
Single Family Residential,L2,Undesignated,27344,237851.27916666667,301516.52722222224,8.698481537692608,0.788849889450228,4.765416666666667
Transit Facility,L2,Free,49461,158326.13944444444,493547.5755555555,3.20102989111511,0.32079205184267523,0.005555555555555536
Transit Facility,L2,Paid,15821,55808.80861111111,113068.07972222222,3.52751460786999,0.49358588868068076,0.6466666666666667
Transit Facility,L2,Undesignated,19303,38385.56,99181.82305555555,1.9885800134694087,0.3870221258032207,0.010277777777777608
Undesignated,DCFC,Free,661682,979639.5788888888,2004575.7030555555,1.4805292858032844,0.48870171248490824,0.009722222222222188
Undesignated,DCFC,Paid,455359,76328.29166666667,385768.0180555555,0.16762223139691249,0.19786060039760586,0.009722222222222215
Undesignated,DCFC,Undesignated,25344,15887.565,40039.571388888886,0.6268767755681819,0.39679658020537284,0.007638888888888862
Undesignated,L2,Free,33134,79219.12111111112,159123.9297222222,2.3908710421654833,0.4978454293417811,0.010000000000000009
Undesignated,L2,Paid,21141,36311.16111111111,95681.86944444444,1.7175706499745098,0.3794988676741353,0.008611111111110903
Undesignated,L2,Undesignated,3121,24271.997222222224,32327.061944444446,7.776993662999751,0.7508259570243276,0.01361111111111124
,,,186119,711084.9096972222,1397669.0952777779,3.820592791156315,0.5087648514943364,4.0
