region,land_use,metro_area,sessions,mean_start_soc,p10_start_soc,median_start_soc,mean_end_soc
East North Central,Metro Area,"Ann Arbor, MI Metro Area",11598,36.39489547343756,10.372727272727273,33.0,73.85019180881004
East North Central,Metro Area,"Chicago-Naperville-Elgin, IL-IN-WI Metro Area",12521,44.91258424853613,14.127272727272727,41.0,81.77105538787875
East North Central,Metro Area,"Detroit-Warren-Dearborn, MI Metro Area",18966,35.79114510656977,9.690909090909093,31.0,73.88636884501479
East North Central,Metro Area,"Grand Rapids-Kentwood, MI Metro Area",10912,34.21675162899994,10.390909090909092,32.0,72.97190126381003
East North Central,Metro Area,Undesignated,91984,37.09564183786874,13.471428571428572,34.0,78.74252851063103
East North Central,Non-Metro,Undesignated,7414,35.14125139197815,11.381818181818183,33.0,72.3185669477944
East North Central,Undesignated,"Grand Rapids-Kentwood, MI Metro Area",2228,34.949861927363315,12.327272727272726,30.0,67.25589392792831
East North Central,Undesignated,Undesignated,22137,37.01756190943188,11.545454545454545,34.0,76.01249648542911
East South Central,Metro Area,Undesignated,14897,43.90567752637463,13.472727272727274,41.0,81.65457067346902
East South Central,Non-Metro,Undesignated,1126,40.19116955501463,14.572727272727274,36.0,74.13484125608463
East South Central,Undesignated,Undesignated,2534,36.06510169503363,13.563636363636363,35.0,77.05510843954445
Middle Atlantic,Metro Area,"Albany-Schenectady-Troy, NY Metro Area",3395,35.898912343977976,11.342857142857143,31.75,78.27186888804634
Middle Atlantic,Metro Area,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",98422,46.53232121234141,15.818181818181818,42.0,84.68447681016065
Middle Atlantic,Metro Area,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area",4105,41.001836926276376,10.80909090909091,39.0,75.19364129968271
Middle Atlantic,Metro Area,"Pittsburgh, PA Metro Area",2768,49.50255299017088,15.236363636363638,43.0,81.02844801738712
Middle Atlantic,Metro Area,"Rochester, NY Metro Area",924,56.72427853572166,28.72,66.5,91.2369605059366
Middle Atlantic,Metro Area,Undesignated,21712,37.981539157673694,10.441666666666666,33.0,76.17202425573886
Middle Atlantic,Non-Metro,Undesignated,81,27.558730158730157,12.466666666666667,37.0,75.32063492063492
Middle Atlantic,Undesignated,Undesignated,1772,40.3950675731899,12.830769230769231,40.5,76.85120906292575
Mountain,Metro Area,"Boulder, CO Metro Area",2793,40.221376064089824,13.021428571428572,38.0,77.0139881992694
Mountain,Metro Area,"Denver-Aurora-Lakewood, CO Metro Area",28818,38.424188169666955,12.028571428571428,34.75,78.79697530016124
Mountain,Metro Area,"Las Vegas-Henderson-Paradise, NV Metro Area",7360,39.14875321086497,10.909090909090908,35.0,80.6694906858367
Mountain,Metro Area,"Phoenix-Mesa-Chandler, AZ Metro Area",130168,50.470172056471135,26.363636363636363,50.0,87.15968572189686
Mountain,Metro Area,"Reno, NV Metro Area",650,43.59317643133074,16.272727272727273,35.0,81.02525645738092
Mountain,Metro Area,Undesignated,98126,36.80917484966841,11.41428571428572,34.0,79.13401261407908
Mountain,Non-Metro,Undesignated,57899,41.39000557069536,16.214285714285715,39.0,78.30321392114764
Mountain,Undesignated,Undesignated,7602,39.96165226507974,14.23076923076923,39.0,79.67833490184093
New England,Metro Area,"Boston-Cambridge-Newton, MA-NH Metro Area",30441,39.40937363196524,12.40714285714286,36.0,79.552878092334
New England,Metro Area,"Burlington-South Burlington, VT Metro Area",3743,41.076322098673465,15.6,38.5,78.37393489171005
New England,Metro Area,"Providence-Warwick, RI-MA Metro Area",22161,37.11218172851963,11.363636363636363,33.0,78.25650866584904
New England,Metro Area,Undesignated,17539,40.041458010257244,12.363636363636363,39.0,74.97471247188304
New England,Metro Area,"Worcester, MA-CT Metro Area",4661,35.66149661971958,10.692307692307692,31.5,72.55425692064169
New England,Non-Metro,Undesignated,4227,36.225363589739636,12.663636363636364,33.5,76.52390547539174
New England,Undesignated,Undesignated,9286,38.23729336147487,13.336363636363638,37.0,73.99453757118216
Pacific,Metro Area,"Los Angeles-Long Beach-Anaheim, CA Metro Area",330600,36.96722890819617,9.666666666666666,34.0,80.49107090094779
Pacific,Metro Area,"Portland-Vancouver-Hillsboro, OR-WA Metro Area",35518,46.5138617474756,16.363636363636363,44.0,80.03706570207599
Pacific,Metro Area,"Salem, OR Metro Area",1417,43.71617230728994,20.35,44.25,79.63551381063336
Pacific,Metro Area,"Seattle-Tacoma-Bellevue, WA Metro Area",60580,37.578350481172706,12.0,33.0,82.14646589400655
Pacific,Metro Area,Undesignated,703992,41.22912555834535,12.833333333333334,37.0,80.86643609350467
