venue,charge_level,pricing,sessions,energy_kwh,total_duration,total_charge_duration,total_overstay,evse_count,ports,energy_per_evse,sessions_per_evse_month,mean_energy,mean_duration,mean_charge_duration,mean_overstay,overstay_ratio
Corridor,DCFC,Undesignated,97237,2185541.746969,71815.43694444445,66152.2336111111,5663.644722222222,105.0,105.0,20814.683304466667,21.536434108527132,22.476441549708444,0.738560804472006,0.680319565711726,0.058245778070304746,0.07886389003806452
Corridor,DCFC,Paid,924098,19664585.817699,642424.9966666667,584099.7841666667,58325.21472222222,1132.0,1132.0,17371.54224178357,18.984674172076588,21.279762338733555,0.6951914154847935,0.6320755852373522,0.06311583265218865,0.09078914274016842
Corridor,DCFC,Free,285890,7612714.425604,384927.22277777776,259010.40833333333,125916.82083333333,466.0,466.0,16336.29705065236,14.267391955284959,26.62812419323516,1.346417233123851,0.9059792519267317,0.4404380035444868,0.3271185132729008
Undesignated,DCFC,Free,661682,31203306.342065,2004575.7030555555,1024936.1241666666,979639.5788888888,2222.0,2224.0,14042.892143143565,6.925271596927135,47.15755656352296,3.0295152400330605,1.548985954229776,1.4805292858032844,0.48870171248490824
Leisure Destination,L2,Free,146651,1933454.349562,648136.3022222222,389999.6661111111,258136.6913888889,147.0,282.0,13152.750677292517,23.20060117070084,13.184051588887904,4.419583243361601,2.659372701932555,1.7602109183632495,0.39827531725014115
Undesignated,DCFC,Paid,455359,9450508.375599,385768.0180555555,309439.7263888889,76328.29166666667,783.0,783.0,12069.614783651341,13.52457750452939,20.753972965504143,0.8471733688266961,0.6795511374297838,0.16762223139691249,0.19786060039760586
Medical or Educational Campus,L2,Free,275412,3740853.934852,1416148.3255555555,818545.0944444444,597603.2552777778,323.0,605.0,11581.591129572755,19.82950536395709,13.582755779893395,5.141926733604765,2.972074907572816,2.1698519137792753,0.42199199370118085
Hotel,L2,Free,69254,1128745.1608520001,371416.69083333336,221612.23194444444,149804.45888888888,105.0,199.0,10749.953912876192,15.338648947951274,16.298627672798684,5.363108135751485,3.199991797505479,2.163116338246006,0.40333259809293537
Multi-Unit Dwelling,L2,Free,692177,14126041.941405,7505017.218611111,2727843.2016666667,4777174.019722222,1332.0,2378.0,10605.136592646397,12.084939590753544,20.408135406702332,10.842627273964768,3.940961923997282,6.901665353980589,0.6365307207924424
Multi-use Parking Garage/Lot,L2,Free,281222,4578494.279055,3724445.7358333333,982671.5058333334,2741774.23,454.0,851.0,10084.789160914097,14.405388792131953,16.280711605262034,13.243792220499582,3.49429100793442,9.749501212565162,0.7361563100842269
Single Family Residential,L2,Paid,8123,156946.683021,46997.43305555556,27568.46638888889,19428.966666666667,16.0,30.0,9809.1676888125,11.806686046511627,19.32127083848332,5.785723631116036,3.393877433077544,2.3918461980384915,0.41340484795626453
Municipal Building,L2,Free,145852,1996418.536045,961664.2175,415696.33472222224,545967.8827777777,239.0,410.0,8353.215631987447,14.192079400603289,13.687975043503002,6.5934249616049145,2.850124336465885,3.7433006251390295,0.5677323465326687
Multi-Unit Dwelling,L2,Paid,666153,13734883.013851,5196638.404722222,2573332.2849999997,2623306.1319444445,1690.0,3131.0,8127.1497123378695,9.166822622815467,20.61821085223815,7.800968253122364,3.862974849621633,3.937993421848201,0.5048082871343574
Transit Facility,L2,Free,49461,779338.035404,493547.5755555555,338175.7475,158326.13944444444,97.0,164.0,8034.412736123711,11.858307360345242,15.756617039768706,9.97851995623937,6.837220183578982,3.20102989111511,0.32079205184267523
Municipal Building,L2,Paid,136653,1666267.00313,522990.4708333333,326002.16833333333,196988.30583333332,212.0,409.0,7859.750014764151,14.99045634050022,12.193416925570606,3.8271422569086178,2.385620281540349,1.4415219997609516,0.37665754314691824
Municipal Building,L2,Undesignated,365674,4706901.323799,2139489.115833333,947430.5236111111,1192075.0094444444,656.0,1167.0,7175.154457010671,12.963485536018151,12.871851222124079,5.850810054401825,2.5909157435615087,3.259939206627883,0.5571774124123693
Multi-use Parking Garage/Lot,L2,Undesignated,226191,3237852.813101747,1320214.9458333333,658378.2588888889,661847.2305555556,462.0,765.0,7008.339422298154,11.38583509513742,14.314684550232975,5.836726243897119,2.9107181934245343,2.9260546642242864,0.5013177836263555
Medical or Educational Campus,L2,Undesignated,351183,4624200.8040539995,1935009.9305555555,1014557.0647222223,920461.4469444444,680.0,1256.0,6800.295300079411,12.010362517099864,13.16749616027541,5.509976082428692,2.8889697528702194,2.621030764428929,0.47568822899021157
Multi-use Parking Garage/Lot,L2,Paid,89292,1264845.792624,733280.8219444444,256400.79222222223,476880.7833333333,186.0,350.0,6800.246196903226,11.164291072768192,14.165275641983603,8.212167069216106,2.871486720223785,5.3406887888425985,0.6503385457003855
Transit Facility,L2,Paid,15821,280971.08733300003,113068.07972222222,57259.27111111111,55808.80861111111,42.0,77.0,6689.787793642858,8.760243632336655,17.759375977055814,7.14670878719564,3.61919417932565,3.52751460786999,0.49358588868068076
Medical or Educational Campus,L2,Paid,136955,1734580.774787,531202.3905555556,358852.89722222224,172349.49805555557,267.0,521.0,6496.557208940075,11.928838951310862,12.665333684692051,3.878663725716882,2.62022487110527,1.258438889091713,0.32445166121203756
